nCells: 10x10, dx: 0.2, dy: 0.2

p (12x12): 
         |        0        1        2        3        4        5        6        7        8        9       10       11
-------------------------------------------------------------------------------------------------------------------------------
       11|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
       10|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        9|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        8|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        7|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        6|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        5|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        4|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        3|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        2|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        1|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9
        0|    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9    -29.9

