nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0116  -0.0116 -0.00674 -0.00652 -0.00691 -0.00724  -0.0074 -0.00734 -0.00709 -0.00667 -0.00612  -0.0055 -0.00488 -0.00436 -0.00407 -0.00404 -0.00367 -0.00133  0.00723     0.03    0.069    0.069
       20|  -0.0116  -0.0116 -0.00674 -0.00652 -0.00691 -0.00724  -0.0074 -0.00734 -0.00709 -0.00667 -0.00612  -0.0055 -0.00488 -0.00436 -0.00407 -0.00404 -0.00367 -0.00133  0.00723     0.03    0.069    0.069
       19| -0.00778 -0.00778 -0.00747 -0.00734 -0.00734 -0.00735 -0.00729  -0.0071 -0.00677 -0.00631 -0.00575 -0.00513  -0.0045 -0.00395 -0.00359 -0.00355 -0.00391 -0.00378-0.000554   0.0117   0.0329   0.0329
       18| -0.00623 -0.00623 -0.00628 -0.00631 -0.00635 -0.00636 -0.00628  -0.0061 -0.00579 -0.00538 -0.00488  -0.0043  -0.0037 -0.00311 -0.00258 -0.00215 -0.00181  -0.0013 0.000903  0.00802    0.018    0.018
       17| -0.00527 -0.00527 -0.00535  -0.0054 -0.00543 -0.00541 -0.00532 -0.00513 -0.00485 -0.00447   -0.004 -0.00345 -0.00284 -0.00219 -0.00148-0.000674 0.000346  0.00188  0.00465  0.00947   0.0143   0.0143
       16| -0.00453 -0.00453  -0.0046 -0.00464 -0.00464  -0.0046 -0.00449  -0.0043 -0.00402 -0.00365  -0.0032 -0.00267 -0.00205 -0.00134-0.000508 0.000509  0.00184  0.00367  0.00624  0.00944    0.012    0.012
       15| -0.00392 -0.00392 -0.00397 -0.00398 -0.00397  -0.0039 -0.00378 -0.00358  -0.0033 -0.00295 -0.00251 -0.00198 -0.00137-0.000641 0.000223  0.00128  0.00259  0.00424   0.0062  0.00817  0.00947  0.00947
       14| -0.00339 -0.00339 -0.00342 -0.00342 -0.00339  -0.0033 -0.00317 -0.00297 -0.00269 -0.00235 -0.00192 -0.00142-0.000819-0.000116 0.000712  0.00169  0.00284  0.00416  0.00555  0.00675  0.00743  0.00743
       13| -0.00293 -0.00293 -0.00295 -0.00294 -0.00289 -0.00279 -0.00265 -0.00245 -0.00218 -0.00185 -0.00144-0.000963-0.000401 0.000251    0.001  0.00186  0.00281  0.00382  0.00479  0.00555  0.00593  0.00593
       12| -0.00252 -0.00252 -0.00254 -0.00251 -0.00246 -0.00236 -0.00221 -0.00201 -0.00175 -0.00144 -0.00106 -0.00061-9.57e-05 0.000491  0.00115  0.00187  0.00264   0.0034  0.00409   0.0046  0.00482  0.00482
       11| -0.00217 -0.00217 -0.00218 -0.00215 -0.00209 -0.00198 -0.00184 -0.00164  -0.0014  -0.0011 -0.00075-0.000343  0.00012 0.000636   0.0012   0.0018  0.00241  0.00299  0.00349  0.00384  0.00398  0.00398
       10| -0.00186 -0.00186 -0.00187 -0.00184 -0.00177 -0.00167 -0.00152 -0.00134 -0.00111-0.000833-0.000512-0.000145 0.000266 0.000715  0.00119  0.00169  0.00218  0.00263    0.003  0.00325  0.00334  0.00334
        9|  -0.0016  -0.0016  -0.0016 -0.00157  -0.0015  -0.0014 -0.00126 -0.00109-0.000875-0.000621-0.000329 2.56e-07 0.000362 0.000751  0.00116  0.00157  0.00196  0.00231  0.00259  0.00278  0.00285  0.00285
        8| -0.00138 -0.00138 -0.00138 -0.00134 -0.00128 -0.00118 -0.00105-0.000886-0.000687-0.000454-0.000189 0.000105 0.000423  0.00076   0.0011  0.00144  0.00177  0.00205  0.00227  0.00241  0.00246  0.00246
        7| -0.00119 -0.00119 -0.00119 -0.00116 -0.00109   -0.001-0.000876-0.000722-0.000537-0.000324-8.43e-05 0.000179  0.00046 0.000753  0.00105  0.00133   0.0016  0.00183    0.002  0.00212  0.00216  0.00216
        6| -0.00104 -0.00104 -0.00104   -0.001-0.000943-0.000854-0.000737-0.000592-0.000421-0.000225-6.03e-06 0.000231 0.000482 0.000739 0.000995  0.00124  0.00146  0.00165   0.0018  0.00189  0.00192  0.00192
        5|-0.000922-0.000922-0.000916-0.000884-0.000825-0.000739-0.000628-0.000492-0.000332 -0.00015 5.13e-05 0.000267 0.000493 0.000723 0.000949  0.00116  0.00135  0.00152  0.00164  0.00172  0.00174  0.00174
        4|-0.000831-0.000831-0.000825-0.000793-0.000736-0.000654-0.000547-0.000418-0.000266-9.51e-05 9.22e-05 0.000292 0.000499 0.000708 0.000911   0.0011  0.00127  0.00142  0.00152  0.00159  0.00161  0.00161
        3|-0.000769-0.000769-0.000762-0.000731-0.000675-0.000595-0.000492-0.000367-0.000221-5.79e-05  0.00012 0.000308 0.000502 0.000697 0.000885  0.00106  0.00122  0.00135  0.00144   0.0015  0.00152  0.00152
        2|-0.000734-0.000734-0.000727-0.000696 -0.00064-0.000561 -0.00046-0.000337-0.000195-3.59e-05 0.000136 0.000318 0.000505 0.000691  0.00087  0.00104  0.00118   0.0013   0.0014  0.00145  0.00147  0.00147
        1|-0.000726-0.000726-0.000719-0.000687-0.000631-0.000552 -0.00045-0.000328-0.000186 -2.8e-05 0.000143 0.000323 0.000507 0.000691 0.000867  0.00103  0.00117  0.00129  0.00138  0.00143  0.00145  0.00145
        0|-0.000726-0.000726-0.000719-0.000687-0.000631-0.000552 -0.00045-0.000328-0.000186 -2.8e-05 0.000143 0.000323 0.000507 0.000691 0.000867  0.00103  0.00117  0.00129  0.00138  0.00143  0.00145  0.00145

