t: 9.12394
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.91     1.85     1.81     1.78     1.75     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.56      1.6     1.74        0
       20|        0    0.086    0.146     0.19    0.225    0.255     0.28    0.303    0.324    0.343    0.361    0.378    0.394     0.41    0.425    0.439    0.449    0.444    0.398    0.264        0
       19|        0  -0.0382  -0.0359  -0.0258  -0.0147 -0.00362  0.00722   0.0176   0.0279   0.0382   0.0488   0.0601   0.0727   0.0871    0.104    0.121    0.135    0.147    0.143   0.0907        0
       18|        0  -0.0108  -0.0194  -0.0226   -0.023  -0.0219  -0.0198   -0.017  -0.0132 -0.00841 -0.00223  0.00599    0.017   0.0314    0.049   0.0671   0.0793   0.0747   0.0577   0.0284        0
       17|        0  -0.0069  -0.0134  -0.0172  -0.0191  -0.0199  -0.0197  -0.0188   -0.017  -0.0141 -0.00982 -0.00364  0.00515   0.0171   0.0321   0.0477   0.0584    0.053   0.0285  0.00262        0
       16|        0 -0.00443 -0.00965  -0.0135  -0.0161  -0.0176  -0.0184  -0.0185  -0.0178  -0.0165  -0.0142  -0.0106  -0.0055  0.00164   0.0108   0.0205   0.0271   0.0218 -0.00079  -0.0154        0
       15|        0 -0.00314 -0.00747  -0.0112   -0.014  -0.0161  -0.0176  -0.0185  -0.0191  -0.0193  -0.0192  -0.0189  -0.0183  -0.0176  -0.0167  -0.0167  -0.0194  -0.0256   -0.034  -0.0309        0
       14|        0 -0.00244 -0.00618  -0.0097  -0.0127  -0.0152  -0.0172   -0.019  -0.0207  -0.0224  -0.0244  -0.0272  -0.0313  -0.0374  -0.0458  -0.0557  -0.0649   -0.069  -0.0644  -0.0445        0
       13|        0 -0.00205 -0.00542  -0.0088  -0.0119  -0.0146  -0.0172  -0.0196  -0.0222  -0.0251  -0.0288  -0.0339  -0.0414  -0.0525  -0.0675  -0.0846  -0.0983   -0.101  -0.0872  -0.0541        0
       12|        0 -0.00184 -0.00497 -0.00825  -0.0114  -0.0143  -0.0172  -0.0201  -0.0233   -0.027  -0.0317  -0.0379  -0.0468  -0.0593  -0.0764  -0.0963   -0.113   -0.116  -0.0992  -0.0585        0
       11|        0 -0.00173 -0.00471  -0.0079   -0.011  -0.0141  -0.0172  -0.0204  -0.0239   -0.028   -0.033  -0.0393  -0.0478   -0.059  -0.0737  -0.0911   -0.107   -0.112  -0.0971  -0.0567        0
       10|        0 -0.00167 -0.00454 -0.00766  -0.0108  -0.0139  -0.0171  -0.0204   -0.024  -0.0281  -0.0329  -0.0387  -0.0459  -0.0547  -0.0652  -0.0768  -0.0872   -0.091  -0.0797  -0.0467        0
        9|        0 -0.00164 -0.00442 -0.00746  -0.0105  -0.0136  -0.0168    -0.02  -0.0236  -0.0274  -0.0317  -0.0367  -0.0423  -0.0486  -0.0553  -0.0615  -0.0658  -0.0651  -0.0547  -0.0308        0
        8|        0 -0.00161 -0.00431 -0.00728  -0.0103  -0.0133  -0.0164  -0.0195  -0.0228  -0.0263    -0.03   -0.034  -0.0382  -0.0424  -0.0461  -0.0486  -0.0485  -0.0444  -0.0341  -0.0171        0
        7|        0 -0.00159 -0.00422  -0.0071    -0.01  -0.0129  -0.0159  -0.0188  -0.0218  -0.0249   -0.028  -0.0311   -0.034  -0.0366  -0.0383  -0.0385  -0.0364  -0.0309  -0.0216 -0.00952        0
        6|        0 -0.00157 -0.00413 -0.00692 -0.00974  -0.0125  -0.0153  -0.0181  -0.0208  -0.0234   -0.026  -0.0283  -0.0303  -0.0317  -0.0321  -0.0311  -0.0281  -0.0227  -0.0149 -0.00606        0
        5|        0 -0.00155 -0.00405 -0.00676 -0.00949  -0.0122  -0.0148  -0.0174  -0.0198  -0.0221  -0.0242  -0.0259  -0.0272  -0.0278  -0.0274  -0.0257  -0.0225  -0.0176  -0.0112 -0.00442        0
        4|        0 -0.00152 -0.00395 -0.00659 -0.00923  -0.0118  -0.0143  -0.0167  -0.0189  -0.0209  -0.0226  -0.0239  -0.0247  -0.0247  -0.0239   -0.022  -0.0188  -0.0144 -0.00901 -0.00354        0
        3|        0 -0.00146 -0.00378  -0.0063 -0.00882  -0.0113  -0.0136  -0.0159  -0.0179  -0.0197  -0.0211  -0.0221  -0.0226  -0.0224  -0.0213  -0.0193  -0.0163  -0.0123 -0.00765 -0.00301        0
        2|        0 -0.00125 -0.00329 -0.00551 -0.00774 -0.00992   -0.012   -0.014  -0.0158  -0.0174  -0.0187  -0.0195  -0.0199  -0.0196  -0.0186  -0.0167   -0.014  -0.0105 -0.00651 -0.00256        0
        1|        0-0.000638 -0.00181 -0.00312 -0.00446 -0.00578 -0.00708 -0.00834 -0.00953  -0.0106  -0.0115  -0.0122  -0.0125  -0.0125  -0.0119  -0.0108 -0.00906 -0.00679 -0.00416 -0.00157        0
        0|        0 0.000636  0.00181  0.00312  0.00445  0.00577  0.00706  0.00832   0.0095   0.0106   0.0115   0.0121   0.0125   0.0124   0.0118   0.0107  0.00901  0.00676  0.00414  0.00157        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
