nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0289  -0.0289   -0.022  -0.0182  -0.0151  -0.0124 -0.00992 -0.00775 -0.00576 -0.00391 -0.00213-0.000398  0.00135  0.00314  0.00504  0.00714  0.00961   0.0128   0.0175   0.0254   0.0394   0.0394
       20|  -0.0289  -0.0289   -0.022  -0.0182  -0.0151  -0.0124 -0.00992 -0.00775 -0.00576 -0.00391 -0.00213-0.000398  0.00135  0.00314  0.00504  0.00714  0.00961   0.0128   0.0175   0.0254   0.0394   0.0394
       19|  -0.0213  -0.0213  -0.0193  -0.0167  -0.0141  -0.0117 -0.00945 -0.00742 -0.00553 -0.00374 -0.00202-0.000336  0.00136   0.0031  0.00494  0.00694   0.0092   0.0119   0.0153   0.0201   0.0263   0.0263
       18|  -0.0167  -0.0167  -0.0158  -0.0142  -0.0124  -0.0105 -0.00861 -0.00682  -0.0051 -0.00345 -0.00183-0.000219   0.0014  0.00308  0.00483  0.00673  0.00882   0.0112   0.0139    0.017   0.0197   0.0197
       17|  -0.0136  -0.0136  -0.0131   -0.012  -0.0107 -0.00922 -0.00769 -0.00615 -0.00462 -0.00311 -0.00161-0.000113  0.00141  0.00297   0.0046  0.00631  0.00815   0.0101   0.0122   0.0141   0.0154   0.0154
       16|  -0.0113  -0.0113   -0.011  -0.0102 -0.00923 -0.00806 -0.00679 -0.00547 -0.00412 -0.00277 -0.00141-3.03e-05  0.00137  0.00279  0.00426  0.00577  0.00733  0.00891   0.0104   0.0117   0.0124   0.0124
       15| -0.00952 -0.00952 -0.00927 -0.00872 -0.00794   -0.007 -0.00594 -0.00482 -0.00364 -0.00244 -0.00121 2.91e-05  0.00129  0.00257  0.00387  0.00517  0.00647  0.00773  0.00885  0.00973   0.0102   0.0102
       14| -0.00808 -0.00808 -0.00788 -0.00745 -0.00684 -0.00606 -0.00518 -0.00422 -0.00319 -0.00213 -0.00104 6.72e-05  0.00119  0.00232  0.00346  0.00457  0.00565  0.00665  0.00751  0.00814  0.00846  0.00846
       13| -0.00689 -0.00689 -0.00674 -0.00639 -0.00589 -0.00525  -0.0045 -0.00368 -0.00279 -0.00186-0.000895 8.76e-05  0.00108  0.00207  0.00305  0.00401   0.0049  0.00571  0.00638  0.00685  0.00708  0.00708
       12| -0.00591 -0.00591 -0.00578  -0.0055 -0.00508 -0.00455 -0.00391  -0.0032 -0.00243 -0.00162 -0.00077 9.48e-05 0.000966  0.00183  0.00268  0.00349  0.00423  0.00489  0.00542  0.00579  0.00597  0.00597
       11|  -0.0051  -0.0051 -0.00499 -0.00475  -0.0044 -0.00395  -0.0034 -0.00279 -0.00212 -0.00141-0.000666 9.26e-05 0.000855  0.00161  0.00234  0.00303  0.00365   0.0042  0.00463  0.00492  0.00506  0.00506
       10| -0.00441 -0.00441 -0.00432 -0.00413 -0.00383 -0.00344 -0.00297 -0.00244 -0.00185 -0.00123 -0.00058 8.43e-05  0.00075  0.00141  0.00204  0.00262  0.00315  0.00361  0.00396   0.0042  0.00432  0.00432
        9| -0.00385 -0.00385 -0.00377  -0.0036 -0.00334 -0.00301  -0.0026 -0.00214 -0.00163 -0.00108 -0.00051 7.26e-05 0.000656  0.00123  0.00177  0.00228  0.00273  0.00311  0.00341  0.00361   0.0037   0.0037
        8| -0.00338 -0.00338 -0.00331 -0.00316 -0.00294 -0.00265 -0.00229 -0.00189 -0.00144-0.000956-0.000453 5.94e-05 0.000571  0.00107  0.00155  0.00199  0.00237   0.0027  0.00295  0.00312   0.0032   0.0032
        7| -0.00299 -0.00299 -0.00293  -0.0028 -0.00261 -0.00235 -0.00204 -0.00168 -0.00128-0.000853-0.000408  4.6e-05 0.000499 0.000939  0.00136  0.00174  0.00208  0.00236  0.00258  0.00273  0.00279  0.00279
        6| -0.00268 -0.00268 -0.00263 -0.00251 -0.00234 -0.00211 -0.00183 -0.00151 -0.00115 -0.00077-0.000372 3.36e-05 0.000438  0.00083   0.0012  0.00154  0.00184  0.00209  0.00228   0.0024  0.00246  0.00246
        5| -0.00243 -0.00243 -0.00238 -0.00228 -0.00212 -0.00191 -0.00166 -0.00137 -0.00105-0.000705-0.000345 2.27e-05 0.000388 0.000742  0.00108  0.00138  0.00165  0.00187  0.00204  0.00215   0.0022   0.0022
        4| -0.00224 -0.00224  -0.0022  -0.0021 -0.00196 -0.00177 -0.00154 -0.00127-0.000973-0.000655-0.000324 1.37e-05 0.000349 0.000673 0.000978  0.00126   0.0015   0.0017  0.00186  0.00196    0.002    0.002
        3|  -0.0021  -0.0021 -0.00206 -0.00197 -0.00184 -0.00166 -0.00144 -0.00119-0.000917-0.000619-0.000309    7e-06  0.00032 0.000624 0.000908  0.00117  0.00139  0.00158  0.00172  0.00182  0.00186  0.00186
