t: 3.32208
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.91     1.85      1.8     1.77     1.74     1.72      1.7     1.68     1.67     1.65     1.64     1.64     1.63     1.62     1.61     1.61     1.62     1.66     1.78        0
       20|        0   0.0893    0.151    0.195     0.23    0.259    0.283    0.303     0.32    0.334    0.346    0.356    0.365    0.372     0.38    0.387    0.391    0.382     0.34    0.225        0
       19|        0   -0.035  -0.0346  -0.0275  -0.0198  -0.0127 -0.00646 -0.00112  0.00345  0.00731   0.0106   0.0134   0.0159   0.0186   0.0221   0.0275   0.0377   0.0523   0.0574   0.0356        0
       18|        0  -0.0122  -0.0227  -0.0285  -0.0314   -0.033  -0.0338  -0.0343  -0.0347  -0.0351  -0.0355  -0.0362  -0.0371  -0.0385  -0.0409  -0.0452  -0.0524  -0.0606  -0.0616  -0.0436        0
       17|        0 -0.00821  -0.0165  -0.0225  -0.0266  -0.0296  -0.0318  -0.0335  -0.0349  -0.0363  -0.0377  -0.0393  -0.0415  -0.0445  -0.0492  -0.0569  -0.0688  -0.0832  -0.0895  -0.0658        0
       16|        0 -0.00587  -0.0126   -0.018  -0.0222  -0.0255   -0.028  -0.0301   -0.032  -0.0336  -0.0353  -0.0373  -0.0396  -0.0428  -0.0472  -0.0537  -0.0624  -0.0718  -0.0746  -0.0552        0
       15|        0  -0.0045 -0.00997  -0.0148  -0.0187   -0.022  -0.0247  -0.0269  -0.0289  -0.0307  -0.0324  -0.0343  -0.0365  -0.0391  -0.0424  -0.0464  -0.0507  -0.0535  -0.0506  -0.0345        0
       14|        0 -0.00361 -0.00817  -0.0124   -0.016  -0.0191  -0.0217   -0.024  -0.0259  -0.0277  -0.0294  -0.0311  -0.0329  -0.0348  -0.0367  -0.0386  -0.0396  -0.0384  -0.0325  -0.0193        0
       13|        0 -0.00299 -0.00686  -0.0105  -0.0138  -0.0166  -0.0191  -0.0213  -0.0232  -0.0249  -0.0264  -0.0278  -0.0291  -0.0303  -0.0312  -0.0316  -0.0307  -0.0278  -0.0215  -0.0113        0
       12|        0 -0.00254 -0.00585 -0.00904   -0.012  -0.0146  -0.0169  -0.0189  -0.0206  -0.0222  -0.0235  -0.0246  -0.0255  -0.0261  -0.0263  -0.0257   -0.024  -0.0206   -0.015 -0.00727        0
       11|        0 -0.00219 -0.00506 -0.00785  -0.0104  -0.0128  -0.0149  -0.0167  -0.0183  -0.0197  -0.0208  -0.0216  -0.0222  -0.0224   -0.022   -0.021   -0.019  -0.0157   -0.011  -0.0051        0
       10|        0  -0.0019 -0.00441 -0.00688 -0.00918  -0.0113  -0.0132  -0.0148  -0.0162  -0.0174  -0.0183  -0.0189  -0.0192  -0.0191  -0.0185  -0.0173  -0.0153  -0.0123 -0.00836 -0.00381        0
        9|        0 -0.00167 -0.00389 -0.00606 -0.00811 -0.00999  -0.0117  -0.0131  -0.0144  -0.0154  -0.0161  -0.0166  -0.0167  -0.0164  -0.0157  -0.0144  -0.0124 -0.00984 -0.00659 -0.00296        0
        8|        0 -0.00149 -0.00345 -0.00539 -0.00721 -0.00889  -0.0104  -0.0117  -0.0128  -0.0136  -0.0142  -0.0145  -0.0145  -0.0142  -0.0134  -0.0121  -0.0103 -0.00806 -0.00534 -0.00237        0
        7|        0 -0.00133 -0.00309 -0.00483 -0.00647 -0.00797 -0.00932  -0.0105  -0.0114  -0.0122  -0.0126  -0.0128  -0.0127  -0.0123  -0.0115  -0.0103 -0.00872 -0.00673 -0.00442 -0.00196        0
        6|        0  -0.0012 -0.00279 -0.00437 -0.00585 -0.00721 -0.00843 -0.00946  -0.0103  -0.0109  -0.0113  -0.0114  -0.0113  -0.0108    -0.01 -0.00893 -0.00749 -0.00575 -0.00376 -0.00165        0
        5|        0  -0.0011 -0.00256   -0.004 -0.00536  -0.0066  -0.0077 -0.00864  -0.0094 -0.00994  -0.0103  -0.0103  -0.0101 -0.00967 -0.00892 -0.00788 -0.00657 -0.00502 -0.00326 -0.00143        0
        4|        0 -0.00103 -0.00238 -0.00372 -0.00498 -0.00613 -0.00715 -0.00801 -0.00869 -0.00917 -0.00944 -0.00947 -0.00926  -0.0088 -0.00808  -0.0071  -0.0059 -0.00448 -0.00291 -0.00127        0
        3|        0-0.000971 -0.00225 -0.00351  -0.0047 -0.00578 -0.00673 -0.00754 -0.00817  -0.0086 -0.00884 -0.00884 -0.00862 -0.00816 -0.00747 -0.00655 -0.00542 -0.00411 -0.00266 -0.00116        0
        2|        0-0.000906  -0.0021 -0.00328 -0.00439 -0.00541  -0.0063 -0.00705 -0.00764 -0.00804 -0.00825 -0.00825 -0.00803 -0.00759 -0.00693 -0.00606 -0.00501 -0.00379 -0.00245 -0.00107        0
        1|        0-0.000633  -0.0015 -0.00237 -0.00319 -0.00394  -0.0046 -0.00516  -0.0056  -0.0059 -0.00607 -0.00607 -0.00592  -0.0056 -0.00512 -0.00448  -0.0037 -0.00279  -0.0018-0.000768        0
        0|        0 0.000634   0.0015  0.00237  0.00318  0.00393  0.00459  0.00515  0.00558  0.00589  0.00605  0.00606   0.0059  0.00559  0.00511  0.00447  0.00369  0.00279  0.00179 0.000767        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
