nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00953 -0.00953 -0.00403 -0.00297 -0.00277  -0.0028 -0.00293 -0.00315 -0.00344 -0.00384 -0.00435 -0.00503 -0.00592 -0.00711 -0.00862  -0.0102  -0.0108 -0.00647   0.0101   0.0502    0.113    0.113
       20| -0.00953 -0.00953 -0.00403 -0.00297 -0.00277  -0.0028 -0.00293 -0.00315 -0.00344 -0.00384 -0.00435 -0.00503 -0.00592 -0.00711 -0.00862  -0.0102  -0.0108 -0.00647   0.0101   0.0502    0.113    0.113
       19| -0.00548 -0.00548  -0.0048 -0.00413 -0.00374 -0.00359 -0.00359  -0.0037 -0.00392 -0.00426 -0.00473 -0.00538 -0.00626 -0.00747 -0.00911  -0.0111  -0.0129   -0.013 -0.00564   0.0175    0.054    0.054
       18| -0.00423 -0.00423 -0.00406 -0.00376 -0.00358 -0.00353 -0.00358 -0.00372 -0.00397 -0.00433 -0.00484 -0.00554 -0.00649 -0.00783 -0.00969  -0.0121  -0.0146  -0.0158  -0.0132 -0.00269   0.0135   0.0135
       17| -0.00352 -0.00352 -0.00349 -0.00339 -0.00333 -0.00334 -0.00343 -0.00361 -0.00389 -0.00427 -0.00481 -0.00557 -0.00664 -0.00817  -0.0104  -0.0134  -0.0169  -0.0192  -0.0186  -0.0135 -0.00577 -0.00577
       16| -0.00303 -0.00303 -0.00304 -0.00302 -0.00303 -0.00309 -0.00321 -0.00341 -0.00369 -0.00409 -0.00464 -0.00541 -0.00653 -0.00823  -0.0108  -0.0145   -0.019  -0.0227  -0.0232  -0.0192  -0.0138  -0.0138
       15| -0.00262 -0.00262 -0.00265 -0.00267 -0.00271 -0.00279 -0.00292 -0.00312 -0.00339 -0.00376 -0.00427   -0.005 -0.00608 -0.00775  -0.0104  -0.0144  -0.0194  -0.0234  -0.0236  -0.0194  -0.0149  -0.0149
       14| -0.00225 -0.00225 -0.00228 -0.00232 -0.00237 -0.00246 -0.00258 -0.00275 -0.00299  -0.0033 -0.00374 -0.00435 -0.00525 -0.00665 -0.00891  -0.0123  -0.0166  -0.0199  -0.0195  -0.0151  -0.0111  -0.0111
       13|  -0.0019  -0.0019 -0.00193 -0.00197 -0.00202  -0.0021  -0.0022 -0.00234 -0.00252 -0.00275 -0.00307  -0.0035 -0.00413 -0.00508 -0.00658 -0.00881  -0.0115  -0.0134  -0.0122 -0.00808 -0.00474 -0.00474
       12| -0.00157 -0.00157  -0.0016 -0.00163 -0.00167 -0.00173  -0.0018 -0.00189   -0.002 -0.00214 -0.00233 -0.00256 -0.00289 -0.00335 -0.00403 -0.00497 -0.00598 -0.00628 -0.00451-0.000894  0.00158  0.00158
       11| -0.00125 -0.00125 -0.00128  -0.0013 -0.00133 -0.00136 -0.00139 -0.00144 -0.00148 -0.00153 -0.00158 -0.00164 -0.00169 -0.00174 -0.00178 -0.00175 -0.00152-0.000592  0.00146   0.0043  0.00595  0.00595
       10|-0.000954-0.000954-0.000974-0.000987-0.000997   -0.001 -0.00101   -0.001-0.000984-0.000951-0.000894-0.000799 -0.00065-0.000417-5.45e-05 0.000507  0.00143  0.00282   0.0047  0.00667  0.00768  0.00768
        9|-0.000678-0.000678-0.000692-0.000695-0.000689-0.000673-0.000643-0.000597-0.000528-0.000428-0.000286-8.59e-05 0.000196 0.000593  0.00115  0.00193    0.003  0.00432  0.00576  0.00697  0.00752  0.00752
        8|-0.000427-0.000427-0.000437-0.000431 -0.00041-0.000374-0.000318-0.000238-0.000128  2.2e-05 0.000223  0.00049 0.000846  0.00132  0.00193  0.00273   0.0037  0.00476  0.00577  0.00649  0.00676  0.00676
        7|-0.000206-0.000206-0.000212-0.000198-0.000165-0.000112 -3.5e-05 7.08e-05 0.000212 0.000395 0.000633 0.000937  0.00132  0.00181  0.00241  0.00313  0.00394  0.00476  0.00547  0.00592  0.00606  0.00606
        6|-1.72e-05-1.72e-05   -2e-05    4e-07 4.28e-05 0.000109 0.000202 0.000327 0.000489 0.000694 0.000952  0.00127  0.00166  0.00213  0.00269  0.00332  0.00398  0.00461  0.00512  0.00543  0.00551  0.00551
        5| 0.000137 0.000137 0.000136 0.000162 0.000212 0.000288 0.000393 0.000531 0.000707 0.000925  0.00119  0.00152   0.0019  0.00234  0.00284  0.00338  0.00393  0.00443  0.00482  0.00505  0.00511  0.00511
        4| 0.000253 0.000253 0.000255 0.000285  0.00034 0.000424 0.000538 0.000685  0.00087   0.0011  0.00137  0.00169  0.00205  0.00247  0.00292   0.0034  0.00386  0.00427  0.00459  0.00478  0.00482  0.00482
        3| 0.000332 0.000332 0.000336 0.000368 0.000428 0.000517 0.000637 0.000791 0.000981  0.00121  0.00148   0.0018  0.00216  0.00255  0.00297  0.00339   0.0038  0.00416  0.00443  0.00459  0.00463  0.00463
        2| 0.000373 0.000373 0.000378 0.000412 0.000474 0.000567 0.000691  0.00085  0.00104  0.00128  0.00155  0.00187  0.00221  0.00259  0.00299  0.00339  0.00377  0.00409  0.00433  0.00448  0.00452  0.00452
        1|  0.00038  0.00038 0.000385 0.000419 0.000482 0.000577 0.000703 0.000865  0.00106   0.0013  0.00158  0.00189  0.00224  0.00261  0.00301   0.0034  0.00376  0.00407  0.00431  0.00444  0.00448  0.00448
        0|  0.00038  0.00038 0.000385 0.000419 0.000482 0.000577 0.000703 0.000865  0.00106   0.0013  0.00158  0.00189  0.00224  0.00261  0.00301   0.0034  0.00376  0.00407  0.00431  0.00444  0.00448  0.00448

