t: 5.25699
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.91     1.85     1.81     1.77     1.74     1.72      1.7     1.68     1.66     1.64     1.62     1.61     1.59     1.58     1.56     1.55     1.55     1.59     1.73        0
       20|        0   0.0868    0.147    0.191    0.226    0.256    0.281    0.304    0.325    0.344    0.361    0.377    0.392    0.407    0.422    0.437    0.451    0.453    0.409    0.271        0
       19|        0   -0.037  -0.0355  -0.0267  -0.0171 -0.00779 0.000925  0.00903   0.0165   0.0236   0.0304   0.0371   0.0443   0.0529   0.0643   0.0814    0.105    0.136     0.14   0.0877        0
       18|        0  -0.0112  -0.0208  -0.0257  -0.0279  -0.0287  -0.0289  -0.0288  -0.0284  -0.0278  -0.0269  -0.0255  -0.0231  -0.0189  -0.0118-0.000919   0.0113   0.0143   0.0129  0.00165        0
       17|        0  -0.0075   -0.015  -0.0203  -0.0239  -0.0265  -0.0285  -0.0301  -0.0314  -0.0326  -0.0336  -0.0345  -0.0352  -0.0359  -0.0372  -0.0405  -0.0482  -0.0605  -0.0644  -0.0445        0
       16|        0 -0.00519  -0.0114  -0.0164  -0.0203  -0.0234  -0.0259  -0.0281    -0.03  -0.0319  -0.0339  -0.0361  -0.0391  -0.0437  -0.0514  -0.0643  -0.0829   -0.101   -0.103  -0.0684        0
       15|        0  -0.0039 -0.00906  -0.0136  -0.0175  -0.0207  -0.0235  -0.0259  -0.0283  -0.0306  -0.0332  -0.0362  -0.0403  -0.0463  -0.0557  -0.0699  -0.0891   -0.107    -0.11  -0.0754        0
       14|        0 -0.00312 -0.00751  -0.0116  -0.0153  -0.0185  -0.0213  -0.0239  -0.0265   -0.029  -0.0318  -0.0352  -0.0394  -0.0452  -0.0532  -0.0641  -0.0775  -0.0897  -0.0911  -0.0644        0
       13|        0 -0.00261 -0.00641  -0.0101  -0.0135  -0.0166  -0.0194  -0.0221  -0.0246  -0.0272    -0.03  -0.0332   -0.037  -0.0417  -0.0475  -0.0544  -0.0613  -0.0657  -0.0624  -0.0424        0
       12|        0 -0.00225  -0.0056 -0.00894  -0.0121   -0.015  -0.0177  -0.0203  -0.0227  -0.0252  -0.0278  -0.0306  -0.0337  -0.0372  -0.0409  -0.0444  -0.0466  -0.0458  -0.0391  -0.0234        0
       11|        0 -0.00198 -0.00496 -0.00798  -0.0109  -0.0136  -0.0161  -0.0185  -0.0208  -0.0231  -0.0254  -0.0277    -0.03  -0.0323  -0.0344  -0.0356  -0.0353  -0.0321  -0.0247  -0.0127        0
       10|        0 -0.00177 -0.00444 -0.00718 -0.00981  -0.0123  -0.0147  -0.0169   -0.019   -0.021  -0.0229  -0.0247  -0.0264  -0.0278  -0.0286  -0.0286   -0.027  -0.0231  -0.0165 -0.00767        0
        9|        0 -0.00159 -0.00402  -0.0065 -0.00891  -0.0112  -0.0133  -0.0154  -0.0172   -0.019  -0.0206  -0.0219  -0.0231  -0.0238  -0.0239  -0.0231   -0.021  -0.0172  -0.0118 -0.00516        0
        8|        0 -0.00145 -0.00365 -0.00592 -0.00812  -0.0102  -0.0122   -0.014  -0.0156  -0.0171  -0.0184  -0.0194  -0.0201  -0.0204    -0.02  -0.0188  -0.0166  -0.0133 -0.00882 -0.00376        0
        7|        0 -0.00133 -0.00335 -0.00543 -0.00745 -0.00935  -0.0111  -0.0128  -0.0142  -0.0155  -0.0165  -0.0172  -0.0176  -0.0175  -0.0169  -0.0156  -0.0135  -0.0106 -0.00689 -0.00289        0
        6|        0 -0.00123  -0.0031 -0.00502 -0.00687 -0.00863  -0.0102  -0.0117   -0.013  -0.0141  -0.0149  -0.0154  -0.0156  -0.0153  -0.0145  -0.0132  -0.0113 -0.00868 -0.00558 -0.00232        0
        5|        0 -0.00116 -0.00289 -0.00468 -0.00641 -0.00803 -0.00952  -0.0108   -0.012  -0.0129  -0.0136  -0.0139  -0.0139  -0.0135  -0.0127  -0.0114 -0.00961 -0.00733 -0.00468 -0.00193        0
        4|        0 -0.00109 -0.00273 -0.00442 -0.00604 -0.00756 -0.00894  -0.0102  -0.0112   -0.012  -0.0125  -0.0128  -0.0127  -0.0122  -0.0114  -0.0101 -0.00844  -0.0064 -0.00406 -0.00167        0
        3|        0 -0.00104  -0.0026  -0.0042 -0.00573 -0.00716 -0.00846 -0.00959  -0.0105  -0.0113  -0.0117  -0.0119  -0.0117  -0.0113  -0.0104 -0.00919 -0.00762 -0.00574 -0.00363 -0.00149        0
        2|        0-0.000938 -0.00235 -0.00381 -0.00522 -0.00653 -0.00771 -0.00875  -0.0096  -0.0102  -0.0107  -0.0108  -0.0106  -0.0102 -0.00937 -0.00825 -0.00682 -0.00512 -0.00323 -0.00132        0
        1|        0-0.000534 -0.00143 -0.00237 -0.00328 -0.00413 -0.00492 -0.00561 -0.00619 -0.00665 -0.00695 -0.00708 -0.00701 -0.00673 -0.00622 -0.00549 -0.00454 -0.00339 -0.00211-0.000828        0
        0|        0 0.000535  0.00143  0.00237  0.00327  0.00413  0.00491   0.0056  0.00618  0.00664  0.00693  0.00706  0.00699  0.00671   0.0062  0.00547  0.00452  0.00338  0.00211 0.000826        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
