nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|    -0.03    -0.03  -0.0229  -0.0189  -0.0157  -0.0129  -0.0104 -0.00823 -0.00622 -0.00435 -0.00257-0.000816 0.000946  0.00276  0.00468   0.0068  0.00929   0.0125   0.0171   0.0248   0.0384   0.0384
       20|    -0.03    -0.03  -0.0229  -0.0189  -0.0157  -0.0129  -0.0104 -0.00823 -0.00622 -0.00435 -0.00257-0.000816 0.000946  0.00276  0.00468   0.0068  0.00929   0.0125   0.0171   0.0248   0.0384   0.0384
       19|  -0.0223  -0.0223  -0.0201  -0.0174  -0.0147  -0.0122 -0.00997 -0.00791   -0.006  -0.0042 -0.00247-0.000763 0.000948  0.00271  0.00457   0.0066  0.00888   0.0116    0.015   0.0197   0.0257   0.0257
       18|  -0.0175  -0.0175  -0.0165  -0.0149   -0.013   -0.011 -0.00914 -0.00733  -0.0056 -0.00392 -0.00229-0.000662 0.000977  0.00266  0.00444  0.00634  0.00844   0.0108   0.0135   0.0166   0.0191   0.0191
       17|  -0.0144  -0.0144  -0.0138  -0.0127  -0.0113 -0.00981 -0.00824 -0.00668 -0.00513  -0.0036 -0.00209-0.000573 0.000961  0.00253  0.00417   0.0059  0.00774   0.0097   0.0117   0.0136   0.0149   0.0149
       16|   -0.012   -0.012  -0.0117  -0.0109 -0.00985 -0.00865 -0.00735 -0.00601 -0.00464 -0.00327 -0.00189-0.000506 0.000902  0.00234  0.00381  0.00533  0.00689  0.00846  0.00995   0.0112   0.0119   0.0119
       15|  -0.0102  -0.0102 -0.00993 -0.00936 -0.00856 -0.00759 -0.00651 -0.00536 -0.00417 -0.00295 -0.00171 -0.00046 0.000811   0.0021   0.0034  0.00471  0.00601  0.00726  0.00837  0.00924   0.0097   0.0097
       14| -0.00873 -0.00873 -0.00852 -0.00808 -0.00745 -0.00666 -0.00575 -0.00477 -0.00373 -0.00266 -0.00155-0.000433   0.0007  0.00184  0.00298   0.0041  0.00518  0.00617  0.00702  0.00765  0.00797  0.00797
       13| -0.00753 -0.00753 -0.00736 -0.00701 -0.00649 -0.00584 -0.00508 -0.00423 -0.00333 -0.00239 -0.00141-0.000422 0.000579  0.00158  0.00256  0.00352  0.00441  0.00522  0.00588  0.00636  0.00659  0.00659
       12| -0.00653 -0.00653  -0.0064 -0.00611 -0.00568 -0.00513 -0.00448 -0.00376 -0.00298 -0.00215 -0.00129-0.000422 0.000457  0.00133  0.00218  0.00299  0.00374   0.0044  0.00493   0.0053  0.00547  0.00547
       11|  -0.0057  -0.0057 -0.00559 -0.00535 -0.00499 -0.00453 -0.00397 -0.00335 -0.00267 -0.00195  -0.0012 -0.00043 0.000339   0.0011  0.00183  0.00252  0.00315  0.00369  0.00413  0.00442  0.00456  0.00456
       10| -0.00501 -0.00501 -0.00492 -0.00471 -0.00441 -0.00401 -0.00353 -0.00299  -0.0024 -0.00177 -0.00111-0.000443 0.000229 0.000889  0.00152  0.00211  0.00265   0.0031  0.00346   0.0037  0.00381  0.00381
        9| -0.00444 -0.00444 -0.00436 -0.00418 -0.00392 -0.00358 -0.00316 -0.00269 -0.00218 -0.00162 -0.00105-0.000458  0.00013 0.000706  0.00125  0.00176  0.00222   0.0026   0.0029   0.0031   0.0032   0.0032
        8| -0.00396 -0.00396 -0.00389 -0.00374 -0.00351 -0.00321 -0.00285 -0.00244 -0.00199  -0.0015-0.000991-0.000473 4.33e-05 0.000547  0.00103  0.00147  0.00186  0.00219  0.00244  0.00261  0.00269  0.00269
        7| -0.00357 -0.00357 -0.00351 -0.00338 -0.00318 -0.00291  -0.0026 -0.00223 -0.00183  -0.0014-0.000947-0.000488-3.16e-05 0.000413 0.000833  0.00122  0.00156  0.00185  0.00206  0.00221  0.00228  0.00228
        6| -0.00325 -0.00325  -0.0032 -0.00308  -0.0029 -0.00267 -0.00239 -0.00206  -0.0017 -0.00131-0.000912-0.000502-9.46e-05 0.000301 0.000675  0.00102  0.00132  0.00157  0.00176  0.00189  0.00195  0.00195
        5|   -0.003   -0.003 -0.00295 -0.00285 -0.00269 -0.00247 -0.00222 -0.00192  -0.0016 -0.00125-0.000885-0.000514-0.000146 0.000211 0.000548 0.000855  0.00112  0.00135  0.00152  0.00163  0.00168  0.00168
        4| -0.00281 -0.00281 -0.00276 -0.00267 -0.00252 -0.00233 -0.00209 -0.00182 -0.00152  -0.0012-0.000865-0.000524-0.000186 0.000142 0.000449  0.00073 0.000975  0.00118  0.00133  0.00144  0.00149  0.00149
        3| -0.00267 -0.00267 -0.00263 -0.00254  -0.0024 -0.00222   -0.002 -0.00175 -0.00146 -0.00116 -0.00085-0.000531-0.000215  9.1e-05 0.000378  0.00064 0.000868  0.00106   0.0012   0.0013  0.00134  0.00134
        2| -0.00258 -0.00258 -0.00254 -0.00245 -0.00232 -0.00215 -0.00194  -0.0017 -0.00143 -0.00114-0.000841-0.000536-0.000233 5.88e-05 0.000333 0.000583 0.000801 0.000981  0.00112  0.00121  0.00125  0.00125
        1| -0.00254 -0.00254  -0.0025 -0.00242 -0.00229 -0.00212 -0.00191 -0.00168 -0.00141 -0.00113-0.000837-0.000538-0.000242 4.44e-05 0.000313 0.000557  0.00077 0.000946  0.00108  0.00117  0.00121  0.00121
        0| -0.00254 -0.00254  -0.0025 -0.00242 -0.00229 -0.00212 -0.00191 -0.00168 -0.00141 -0.00113-0.000837-0.000538-0.000242 4.44e-05 0.000313 0.000557  0.00077 0.000946  0.00108  0.00117  0.00121  0.00121

