t: 17.0104
nCells: 20x20, dx: 0.05, dy: 0.05

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.84     1.72     1.63     1.56      1.5     1.45     1.41     1.37     1.34     1.31     1.29     1.27     1.26     1.26     1.26     1.29     1.34     1.45     1.66        0
       20|        0     0.16    0.282    0.372    0.442      0.5     0.55    0.593     0.63    0.662    0.689    0.711    0.728    0.739    0.743    0.736    0.712    0.659    0.554    0.342        0
       19|        0  -0.0489   -0.024   0.0273   0.0831    0.138    0.189    0.237     0.28    0.318    0.351    0.378    0.399    0.412    0.418    0.412    0.389     0.34    0.248     0.11        0
       18|        0  -0.0328  -0.0378  -0.0184   0.0147   0.0522   0.0903    0.127     0.16     0.19    0.214    0.233    0.246    0.251    0.248    0.236    0.211    0.165   0.0937   0.0132        0
       17|        0   -0.014  -0.0182 -0.00824   0.0115   0.0365   0.0634   0.0902    0.115    0.136    0.153    0.164    0.169    0.166    0.156    0.136    0.106   0.0612  0.00331  -0.0338        0
       16|        0 -0.00438 -0.00512  0.00102   0.0128   0.0288   0.0471   0.0659   0.0837   0.0989     0.11    0.116    0.116    0.108   0.0925    0.068   0.0338  -0.0125  -0.0533  -0.0561        0
       15|        0-0.000389 0.000241  0.00325  0.00908   0.0177   0.0284   0.0401   0.0514    0.061   0.0675   0.0695   0.0657   0.0549   0.0365  0.00823  -0.0296  -0.0671  -0.0872  -0.0656        0
       14|        0 0.000636 0.000402 -0.00013 0.000266  0.00236  0.00613    0.011   0.0159   0.0198   0.0216   0.0198   0.0129 -0.00115  -0.0227  -0.0509  -0.0823   -0.106   -0.106   -0.067        0
       13|        0 -1.5e-05 -0.00269 -0.00732  -0.0122  -0.0161  -0.0188  -0.0206  -0.0221  -0.0242  -0.0278   -0.034  -0.0443  -0.0599  -0.0802   -0.103   -0.124   -0.132   -0.114  -0.0628        0
       12|        0  -0.0016 -0.00768  -0.0167  -0.0266  -0.0361  -0.0448  -0.0528  -0.0605  -0.0684  -0.0772  -0.0875     -0.1   -0.115   -0.131   -0.146   -0.153   -0.146   -0.113  -0.0544        0
       11|        0 -0.00365  -0.0134  -0.0266  -0.0411  -0.0556  -0.0696  -0.0831  -0.0962   -0.109   -0.122   -0.135   -0.147   -0.159   -0.169   -0.175    -0.17   -0.148   -0.105  -0.0435        0
       10|        0 -0.00573  -0.0188  -0.0357   -0.054  -0.0726  -0.0909   -0.109   -0.126   -0.142   -0.157   -0.171   -0.182    -0.19   -0.193   -0.189   -0.173   -0.141   -0.091  -0.0321        0
        9|        0 -0.00748  -0.0232  -0.0428  -0.0639  -0.0853   -0.107   -0.127   -0.147   -0.165   -0.181   -0.193   -0.202   -0.206   -0.203    -0.19   -0.166   -0.127  -0.0745  -0.0219        0
        8|        0  -0.0086  -0.0259   -0.047  -0.0696  -0.0926   -0.115   -0.137   -0.158   -0.176   -0.191   -0.202   -0.207   -0.206   -0.198   -0.179   -0.149   -0.107  -0.0575  -0.0142        0
        7|        0 -0.00893  -0.0265  -0.0479  -0.0708  -0.0941   -0.117   -0.139   -0.158   -0.175   -0.188   -0.197   -0.199   -0.194   -0.181   -0.158   -0.126   -0.085  -0.0417 -0.00879        0
        6|        0 -0.00842  -0.0251  -0.0455  -0.0674  -0.0898   -0.112   -0.132    -0.15   -0.165   -0.176   -0.181   -0.181   -0.173   -0.157   -0.132     -0.1  -0.0635  -0.0283 -0.00521        0
        5|        0 -0.00715  -0.0217  -0.0399  -0.0598  -0.0803     -0.1   -0.119   -0.135   -0.148   -0.156   -0.159   -0.156   -0.145   -0.128   -0.104   -0.075  -0.0442  -0.0178 -0.00275        0
        4|        0  -0.0053  -0.0168  -0.0317  -0.0486  -0.0664   -0.084     -0.1   -0.115   -0.125   -0.131   -0.132   -0.127   -0.116  -0.0989  -0.0768  -0.0519  -0.0279 -0.00973-0.000944        0
        3|        0 -0.00315  -0.0109  -0.0217  -0.0347  -0.0488  -0.0632   -0.077   -0.089  -0.0979   -0.103   -0.103  -0.0975  -0.0867   -0.071   -0.052  -0.0321  -0.0148 -0.00354 0.000514        0
        2|        0 -0.00104 -0.00495  -0.0113  -0.0195  -0.0289   -0.039   -0.049  -0.0581  -0.0652  -0.0693  -0.0695  -0.0654  -0.0568  -0.0445    -0.03  -0.0158 -0.00479 0.000984  0.00159        0
        1|        0 0.000395 -0.00038 -0.00237 -0.00526 -0.00883  -0.0129  -0.0172  -0.0214   -0.025  -0.0274  -0.0281  -0.0266  -0.0226  -0.0167 -0.00966 -0.00315  0.00125  0.00266  0.00156        0
        0|        0-0.000395  0.00038  0.00237  0.00526  0.00883   0.0129   0.0172   0.0214    0.025   0.0274   0.0281   0.0266   0.0226   0.0167  0.00966  0.00315 -0.00125 -0.00266 -0.00156        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       19|    -0.16     0.16    0.122   0.0893   0.0702   0.0582   0.0497    0.043   0.0373   0.0321   0.0271    0.022   0.0168    0.011  0.00373 -0.00709   -0.024  -0.0524   -0.105   -0.212   -0.342    0.342
