t: 72.0098
nCells: 20x20, dx: 0.05, dy: 0.05

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.83     1.71     1.63     1.57     1.53     1.49     1.47     1.45     1.43     1.42     1.42     1.41     1.41     1.41     1.41     1.43     1.46     1.53     1.71        0
       20|        0    0.167    0.289    0.372     0.43    0.473    0.506    0.532    0.551    0.566    0.576    0.583    0.587     0.59    0.589    0.586    0.573    0.542    0.465    0.291        0
       19|        0  -0.0498   -0.043  -0.0217 0.000931   0.0211   0.0377   0.0507   0.0603   0.0664   0.0695   0.0701   0.0694   0.0689   0.0709   0.0754   0.0785    0.072   0.0441 0.000735        0
       18|        0  -0.0543  -0.0998   -0.128   -0.147   -0.159   -0.169   -0.178   -0.186   -0.193   -0.199   -0.204   -0.205   -0.203   -0.196   -0.186   -0.174   -0.161   -0.142  -0.0958        0
       17|        0  -0.0475   -0.104   -0.152    -0.19    -0.22   -0.243   -0.262   -0.277   -0.287   -0.294   -0.296   -0.294   -0.289   -0.281   -0.271   -0.256   -0.231   -0.186   -0.106        0
       16|        0  -0.0359  -0.0882   -0.137   -0.178    -0.21   -0.236   -0.255   -0.268   -0.275   -0.278   -0.276   -0.271   -0.263   -0.253   -0.241   -0.225   -0.198    -0.15  -0.0746        0
       15|        0  -0.0226  -0.0611   -0.101   -0.136   -0.165   -0.187   -0.202   -0.211   -0.215   -0.213   -0.208     -0.2    -0.19   -0.179   -0.166   -0.149   -0.124  -0.0858  -0.0358        0
       14|        0  -0.0111  -0.0356  -0.0639  -0.0904   -0.112   -0.129    -0.14   -0.145   -0.146   -0.142   -0.135   -0.126   -0.117   -0.106   -0.094    -0.08  -0.0618  -0.0383  -0.0131        0
       13|        0 -0.00238  -0.0143  -0.0314  -0.0491  -0.0644  -0.0758  -0.0829  -0.0857  -0.0847  -0.0805  -0.0743  -0.0667  -0.0585  -0.0502  -0.0417  -0.0328  -0.0228   -0.012 -0.00283        0
       12|        0  0.00336   0.0019 -0.00508  -0.0146  -0.0237  -0.0308  -0.0351  -0.0366  -0.0355  -0.0324  -0.0278  -0.0225  -0.0171   -0.012 -0.00757 -0.00385-0.000834  0.00119  0.00146        0
       11|        0  0.00664   0.0127   0.0143   0.0124  0.00891  0.00557  0.00329  0.00243  0.00293  0.00452  0.00685  0.00944   0.0118   0.0134   0.0139   0.0132    0.011   0.0076  0.00327        0
       10|        0  0.00806    0.019    0.027   0.0315   0.0332   0.0334   0.0332   0.0329   0.0327   0.0328   0.0329   0.0328   0.0321   0.0305   0.0276   0.0234   0.0176   0.0109  0.00407        0
        9|        0  0.00817   0.0217   0.0342   0.0434   0.0495   0.0531   0.0548   0.0554    0.055   0.0539   0.0522   0.0498   0.0466   0.0423   0.0366   0.0297   0.0214   0.0126  0.00443        0
        8|        0   0.0075   0.0218   0.0367   0.0494   0.0588   0.0651   0.0689   0.0705   0.0704   0.0687   0.0658   0.0618   0.0565   0.0501   0.0423   0.0334   0.0235   0.0134  0.00457        0
        7|        0  0.00645   0.0202    0.036   0.0504   0.0621   0.0707   0.0762    0.079   0.0794   0.0776   0.0741   0.0689   0.0623   0.0544   0.0453   0.0351   0.0243   0.0136  0.00454        0
        6|        0  0.00531   0.0177    0.033    0.048   0.0609   0.0709   0.0778   0.0816   0.0826   0.0811   0.0773   0.0716   0.0642   0.0554   0.0455   0.0348   0.0237   0.0131   0.0043        0
        5|        0  0.00425   0.0148   0.0288   0.0433   0.0564    0.067   0.0747   0.0792   0.0807   0.0794   0.0756   0.0697    0.062    0.053   0.0429   0.0324   0.0217   0.0118  0.00381        0
        4|        0  0.00328   0.0119   0.0239   0.0371   0.0495     0.06   0.0678   0.0725   0.0741   0.0729   0.0691   0.0633   0.0557    0.047   0.0376   0.0278   0.0183   0.0097  0.00305        0
        3|        0  0.00229  0.00881   0.0185   0.0296   0.0405   0.0499   0.0569   0.0611   0.0625   0.0611   0.0575    0.052   0.0452   0.0375   0.0294   0.0213   0.0136  0.00693  0.00206        0
        2|        0  0.00113  0.00526    0.012   0.0203   0.0286   0.0358    0.041    0.044   0.0446   0.0432     0.04   0.0356   0.0304   0.0247   0.0188   0.0131  0.00797  0.00373 0.000919        0
        1|        0-9.48e-05   0.0013  0.00421  0.00802   0.0119   0.0152   0.0175   0.0186   0.0186   0.0176   0.0159   0.0138   0.0114  0.00893  0.00652  0.00425  0.00225 0.000719   -7e-05        0
        0|        0 9.48e-05  -0.0013 -0.00421 -0.00802  -0.0119  -0.0152  -0.0175  -0.0186  -0.0186  -0.0176  -0.0159  -0.0138  -0.0114 -0.00893 -0.00652 -0.00425 -0.00225-0.000719 6.99e-05        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       19|   -0.167    0.167    0.122   0.0822   0.0582   0.0433   0.0331   0.0255   0.0195   0.0146   0.0104  0.00697  0.00422  0.00214-0.000103  -0.0039  -0.0121  -0.0315  -0.0769   -0.174   -0.291    0.291
