nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0215  -0.0215   -0.016   -0.013  -0.0104 -0.00805 -0.00597 -0.00406 -0.00225-0.000488  0.00131   0.0032  0.00534  0.00802   0.0119   0.0183   0.0296   0.0296
       16|  -0.0215  -0.0215   -0.016   -0.013  -0.0104 -0.00805 -0.00597 -0.00406 -0.00225-0.000488  0.00131   0.0032  0.00534  0.00802   0.0119   0.0183   0.0296   0.0296
       15|  -0.0155  -0.0155  -0.0139  -0.0117 -0.00955  -0.0075  -0.0056  -0.0038 -0.00209-0.000402   0.0013   0.0031  0.00506  0.00732   0.0101   0.0141   0.0191   0.0191
       14|  -0.0117  -0.0117   -0.011 -0.00971 -0.00816 -0.00655 -0.00494 -0.00336  -0.0018-0.000234  0.00136  0.00304  0.00484  0.00685  0.00914   0.0117   0.0139   0.0139
       13| -0.00931 -0.00931 -0.00886   -0.008 -0.00687  -0.0056 -0.00426 -0.00289 -0.00151-9.66e-05  0.00135  0.00285  0.00443   0.0061  0.00782  0.00944   0.0105   0.0105
       12| -0.00752 -0.00752 -0.00722  -0.0066 -0.00574 -0.00473 -0.00362 -0.00245 -0.00124-2.13e-06  0.00127  0.00258  0.00391  0.00524  0.00651  0.00758   0.0082   0.0082
       11| -0.00615 -0.00615 -0.00592 -0.00546 -0.00479 -0.00397 -0.00305 -0.00206 -0.00102 5.45e-05  0.00115  0.00226  0.00336  0.00442  0.00537   0.0061  0.00649  0.00649
       10| -0.00507 -0.00507  -0.0049 -0.00453   -0.004 -0.00333 -0.00257 -0.00173-0.000839 8.19e-05  0.00102  0.00195  0.00285  0.00369  0.00441  0.00494  0.00521  0.00521
        9| -0.00421 -0.00421 -0.00407 -0.00378 -0.00334  -0.0028 -0.00216 -0.00145-0.000694 8.92e-05 0.000881  0.00166   0.0024  0.00307  0.00362  0.00402  0.00422  0.00422
        8| -0.00352 -0.00352 -0.00341 -0.00317 -0.00281 -0.00236 -0.00182 -0.00122 -0.00058  8.4e-05 0.000752   0.0014  0.00201  0.00255  0.00299   0.0033  0.00345  0.00345
        7| -0.00298 -0.00298 -0.00289 -0.00269 -0.00239   -0.002 -0.00155 -0.00104-0.000492 7.21e-05 0.000637  0.00118  0.00169  0.00213  0.00249  0.00273  0.00285  0.00285
        6| -0.00255 -0.00255 -0.00247  -0.0023 -0.00205 -0.00172 -0.00133-0.000893-0.000426 5.77e-05  0.00054    0.001  0.00143   0.0018  0.00209  0.00229  0.00238  0.00238
        5| -0.00222 -0.00222 -0.00215   -0.002 -0.00178  -0.0015 -0.00116-0.000782-0.000376 4.32e-05  0.00046 0.000857  0.00122  0.00153  0.00178  0.00195  0.00202  0.00202
        4| -0.00197 -0.00197 -0.00191 -0.00178 -0.00158 -0.00133 -0.00103-0.000698-0.000339 3.06e-05 0.000397 0.000746  0.00106  0.00133  0.00155  0.00169  0.00176  0.00176
        3| -0.00179 -0.00179 -0.00173 -0.00162 -0.00144 -0.00121-0.000943-0.000639-0.000314 2.07e-05 0.000352 0.000666 0.000951  0.00119  0.00138  0.00151  0.00157  0.00157
        2| -0.00168 -0.00168 -0.00163 -0.00152 -0.00135 -0.00114-0.000886-0.000602-0.000298 1.41e-05 0.000323 0.000615  0.00088   0.0011  0.00128   0.0014  0.00145  0.00145
        1| -0.00163 -0.00163 -0.00158 -0.00147 -0.00131 -0.00111-0.000861-0.000586-0.000291 1.11e-05  0.00031 0.000593 0.000848  0.00107  0.00123  0.00135   0.0014   0.0014
        0| -0.00163 -0.00163 -0.00158 -0.00147 -0.00131 -0.00111-0.000861-0.000586-0.000291 1.11e-05  0.00031 0.000593 0.000848  0.00107  0.00123  0.00135   0.0014   0.0014

