nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00633 -0.00633 -0.00226 -0.00168 -0.00172 -0.00194 -0.00228 -0.00274 -0.00335 -0.00419 -0.00544 -0.00732 -0.00998  -0.0121 -0.00532   0.0228   0.0724   0.0724
       16| -0.00633 -0.00633 -0.00226 -0.00168 -0.00172 -0.00194 -0.00228 -0.00274 -0.00335 -0.00419 -0.00544 -0.00732 -0.00998  -0.0121 -0.00532   0.0228   0.0724   0.0724
       15|  -0.0033  -0.0033 -0.00294 -0.00259 -0.00246 -0.00252 -0.00274 -0.00311 -0.00363  -0.0044 -0.00558 -0.00751  -0.0108  -0.0158  -0.0177 -0.00354   0.0255   0.0255
       14| -0.00235 -0.00235 -0.00229 -0.00219  -0.0022 -0.00233 -0.00256 -0.00291 -0.00342 -0.00415 -0.00527 -0.00714  -0.0104  -0.0155    -0.02  -0.0145-0.000266-0.000266
       13| -0.00177 -0.00177 -0.00179  -0.0018 -0.00187 -0.00201 -0.00223 -0.00254 -0.00297 -0.00358 -0.00449 -0.00592 -0.00831  -0.0118  -0.0148  -0.0115 -0.00405 -0.00405
       12| -0.00135 -0.00135 -0.00139 -0.00144 -0.00152 -0.00164 -0.00182 -0.00205 -0.00236 -0.00276  -0.0033 -0.00406 -0.00514 -0.00643 -0.00687 -0.00387 0.000549 0.000549
       11|   -0.001   -0.001 -0.00105 -0.00109 -0.00116 -0.00125 -0.00137 -0.00151 -0.00167 -0.00185 -0.00204 -0.00219 -0.00225 -0.00197-0.000709  0.00219  0.00514  0.00514
       10|-0.000699-0.000699-0.000738-0.000776-0.000822-0.000874-0.000929-0.000981 -0.00101 -0.00101-0.000921-0.000689-0.000199 0.000781  0.00242  0.00471  0.00661  0.00661
        9|-0.000433-0.000433-0.000462-0.000486-0.000507-0.000521-0.000523-0.000499-0.000434  -0.0003-5.46e-05 0.000361  0.00105  0.00207  0.00342   0.0049  0.00596  0.00596
        8|-0.000197-0.000197-0.000218-0.000228-0.000226-0.000209-0.000167-9.02e-05 3.98e-05 0.000247 0.000563  0.00103  0.00169  0.00254   0.0035  0.00439  0.00492  0.00492
        7| 7.36e-06 7.36e-06-6.45e-06-3.89e-06 1.58e-05 5.76e-05 0.000129 0.000241 0.000407 0.000645 0.000975  0.00142  0.00198  0.00263   0.0033  0.00384  0.00411  0.00411
        6|  0.00018  0.00018 0.000172 0.000184 0.000217 0.000276 0.000366 0.000498 0.000679 0.000923  0.00124  0.00163  0.00209  0.00258  0.00305  0.00339  0.00354  0.00354
        5| 0.000319 0.000319 0.000315 0.000334 0.000377 0.000447 0.000549  0.00069 0.000875  0.00111   0.0014  0.00174  0.00211  0.00249  0.00283  0.00306  0.00315  0.00315
        4| 0.000425 0.000425 0.000425 0.000449 0.000498 0.000575 0.000683 0.000827  0.00101  0.00123   0.0015  0.00179   0.0021   0.0024  0.00266  0.00283  0.00289  0.00289
        3| 0.000497 0.000497   0.0005 0.000527 0.000581 0.000662 0.000774  0.00092   0.0011  0.00131  0.00155  0.00182  0.00208  0.00233  0.00254  0.00267  0.00272  0.00272
        2| 0.000536 0.000536  0.00054  0.00057 0.000627 0.000712 0.000827 0.000973  0.00115  0.00136  0.00159  0.00183  0.00207  0.00229  0.00247  0.00258  0.00262  0.00262
        1| 0.000543 0.000543 0.000548  0.00058 0.000638 0.000726 0.000844 0.000992  0.00117  0.00137   0.0016  0.00184  0.00207  0.00228  0.00245  0.00255  0.00259  0.00259
        0| 0.000543 0.000543 0.000548  0.00058 0.000638 0.000726 0.000844 0.000992  0.00117  0.00137   0.0016  0.00184  0.00207  0.00228  0.00245  0.00255  0.00259  0.00259

