t: 4.49324
nCells: 16x16, dx: 0.125, dy: 0.125

u (19x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0     1.92     1.86     1.82     1.79     1.76     1.74     1.72     1.71      1.7     1.68     1.67     1.66     1.66      1.7      1.8        0
       16|        0    0.082    0.138    0.178     0.21    0.236    0.258    0.276    0.292    0.305    0.317    0.329    0.339    0.337    0.303    0.202        0
       15|        0  -0.0333  -0.0341  -0.0287  -0.0226  -0.0171  -0.0122 -0.00805 -0.00429-0.000615  0.00365  0.00951   0.0185    0.034   0.0428   0.0286        0
       14|        0  -0.0107  -0.0208  -0.0267  -0.0301  -0.0322  -0.0337  -0.0349  -0.0362  -0.0376  -0.0399   -0.044   -0.051  -0.0601   -0.061  -0.0425        0
       13|        0 -0.00766  -0.0154  -0.0213  -0.0255  -0.0288  -0.0314  -0.0338  -0.0363  -0.0394  -0.0437  -0.0505  -0.0611  -0.0744   -0.081  -0.0605        0
       12|        0 -0.00563   -0.012  -0.0173  -0.0215   -0.025   -0.028  -0.0307  -0.0335  -0.0367  -0.0408  -0.0465   -0.054   -0.062  -0.0648  -0.0487        0
       11|        0  -0.0044 -0.00966  -0.0143  -0.0183  -0.0217  -0.0247  -0.0274  -0.0301  -0.0329   -0.036  -0.0396  -0.0433  -0.0456  -0.0431  -0.0296        0
       10|        0 -0.00359   -0.008  -0.0121  -0.0157  -0.0188  -0.0216  -0.0241  -0.0265  -0.0287  -0.0308  -0.0326  -0.0336  -0.0326  -0.0276  -0.0164        0
        9|        0   -0.003 -0.00675  -0.0103  -0.0135  -0.0163  -0.0189  -0.0211   -0.023  -0.0246  -0.0258  -0.0264  -0.0259  -0.0235  -0.0183 -0.00964        0
        8|        0 -0.00255 -0.00577 -0.00885  -0.0117  -0.0142  -0.0164  -0.0183  -0.0198  -0.0209  -0.0215  -0.0213  -0.0201  -0.0174  -0.0127 -0.00627        0
        7|        0  -0.0022 -0.00499 -0.00768  -0.0101  -0.0123  -0.0142  -0.0158   -0.017  -0.0177  -0.0179  -0.0173  -0.0159  -0.0132 -0.00934 -0.00442        0
        6|        0 -0.00193 -0.00437 -0.00673 -0.00889  -0.0108  -0.0124  -0.0137  -0.0146  -0.0151   -0.015  -0.0143  -0.0128  -0.0104 -0.00716 -0.00331        0
        5|        0 -0.00171 -0.00388 -0.00597 -0.00788 -0.00957   -0.011  -0.0121  -0.0127   -0.013  -0.0128   -0.012  -0.0105 -0.00841 -0.00571 -0.00261        0
        4|        0 -0.00155  -0.0035 -0.00538  -0.0071 -0.00861 -0.00984  -0.0108  -0.0113  -0.0114  -0.0111  -0.0103 -0.00892 -0.00705 -0.00473 -0.00215        0
        3|        0 -0.00143 -0.00322 -0.00496 -0.00653  -0.0079   -0.009  -0.0098  -0.0102  -0.0103 -0.00993 -0.00911 -0.00784 -0.00615  -0.0041 -0.00185        0
        2|        0 -0.00132 -0.00298 -0.00458 -0.00604  -0.0073  -0.0083 -0.00902  -0.0094 -0.00941 -0.00903 -0.00825 -0.00706 -0.00551 -0.00366 -0.00164        0
        1|        0-0.000951 -0.00219  -0.0034  -0.0045 -0.00545 -0.00622 -0.00677 -0.00707 -0.00709 -0.00681 -0.00622 -0.00532 -0.00414 -0.00274 -0.00121        0
        0|        0 0.000952  0.00219  0.00339  0.00449  0.00544   0.0062  0.00675  0.00705  0.00707  0.00679   0.0062   0.0053  0.00413  0.00273  0.00121        0

v (18x19): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
