nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00631 -0.00631 -0.00226 -0.00172  -0.0018 -0.00206 -0.00244 -0.00292 -0.00354 -0.00437 -0.00558 -0.00739  -0.0101  -0.0122 -0.00567   0.0219   0.0704   0.0704
       16| -0.00631 -0.00631 -0.00226 -0.00172  -0.0018 -0.00206 -0.00244 -0.00292 -0.00354 -0.00437 -0.00558 -0.00739  -0.0101  -0.0122 -0.00567   0.0219   0.0704   0.0704
       15| -0.00331 -0.00331 -0.00296 -0.00264 -0.00254 -0.00263 -0.00287 -0.00324 -0.00377 -0.00451 -0.00564 -0.00745  -0.0106  -0.0156  -0.0175 -0.00368   0.0247   0.0247
       14| -0.00235 -0.00235 -0.00231 -0.00223 -0.00226  -0.0024 -0.00264 -0.00299 -0.00347 -0.00416 -0.00518 -0.00687 -0.00983  -0.0146  -0.0187  -0.0129 0.000979 0.000979
       13| -0.00178 -0.00178 -0.00181 -0.00184 -0.00191 -0.00205 -0.00227 -0.00256 -0.00296  -0.0035 -0.00428 -0.00547 -0.00739  -0.0102  -0.0123  -0.0088 -0.00163 -0.00163
       12| -0.00137 -0.00137 -0.00142 -0.00147 -0.00155 -0.00167 -0.00184 -0.00205 -0.00232 -0.00265 -0.00307  -0.0036 -0.00429 -0.00496 -0.00466 -0.00148  0.00272  0.00272
       11| -0.00103 -0.00103 -0.00108 -0.00113  -0.0012 -0.00128 -0.00139 -0.00151 -0.00164 -0.00176 -0.00185 -0.00186 -0.00169 -0.00107 0.000466  0.00331    0.006    0.006
       10|-0.000741-0.000741 -0.00078-0.000819-0.000863-0.000911-0.000957-0.000991-0.000999-0.000955-0.000817-0.000517 6.49e-05   0.0011   0.0027  0.00474  0.00637  0.00637
        9|-0.000485-0.000485-0.000516-0.000539-0.000559 -0.00057-0.000565-0.000532-0.000453-0.000301 -3.7e-05 0.000395  0.00107  0.00204  0.00327  0.00453  0.00539  0.00539
        8|-0.000261-0.000261-0.000283-0.000293-0.000291-0.000272-0.000228-0.000148-1.41e-05 0.000195 0.000508 0.000961  0.00158  0.00235  0.00321  0.00396  0.00438  0.00438
        7|-6.79e-05-6.79e-05-8.25e-05-8.09e-05-6.21e-05-2.12e-05 4.92e-05 0.000159 0.000322 0.000552 0.000868  0.00128   0.0018  0.00239  0.00297  0.00343  0.00365  0.00365
        6| 9.39e-05 9.39e-05  8.5e-05 9.56e-05 0.000127 0.000183  0.00027 0.000396 0.000569   0.0008   0.0011  0.00146  0.00188  0.00232  0.00273  0.00303  0.00315  0.00315
        5| 0.000224 0.000224  0.00022 0.000237 0.000276 0.000342 0.000439 0.000571 0.000746 0.000966  0.00123  0.00155  0.00188  0.00222  0.00252  0.00272   0.0028   0.0028
        4| 0.000323 0.000323 0.000322 0.000343 0.000389  0.00046 0.000562 0.000697 0.000867  0.00107  0.00132  0.00159  0.00187  0.00214  0.00236  0.00251  0.00257  0.00257
        3|  0.00039  0.00039 0.000391 0.000416 0.000465 0.000541 0.000645  0.00078 0.000946  0.00114  0.00136   0.0016  0.00185  0.00207  0.00225  0.00237  0.00241  0.00241
        2| 0.000426 0.000426 0.000428 0.000456 0.000508 0.000587 0.000693 0.000829 0.000992  0.00118  0.00139  0.00161  0.00183  0.00203  0.00219  0.00229  0.00233  0.00233
        1| 0.000431 0.000431 0.000435 0.000463 0.000518 0.000599 0.000708 0.000846  0.00101   0.0012  0.00141  0.00162  0.00183  0.00202  0.00217  0.00227   0.0023   0.0023
        0| 0.000431 0.000431 0.000435 0.000463 0.000518 0.000599 0.000708 0.000846  0.00101   0.0012  0.00141  0.00162  0.00183  0.00202  0.00217  0.00227   0.0023   0.0023

