nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00734 -0.00734 -0.00323 -0.00258 -0.00257 -0.00274 -0.00303 -0.00344   -0.004 -0.00483 -0.00605  -0.0079  -0.0102  -0.0112 -0.00319   0.0257   0.0755   0.0755
       16| -0.00734 -0.00734 -0.00323 -0.00258 -0.00257 -0.00274 -0.00303 -0.00344   -0.004 -0.00483 -0.00605  -0.0079  -0.0102  -0.0112 -0.00319   0.0257   0.0755   0.0755
       15| -0.00427 -0.00427 -0.00388 -0.00348 -0.00331 -0.00333 -0.00351 -0.00385 -0.00436 -0.00514 -0.00637 -0.00836  -0.0114  -0.0155  -0.0159-0.000972   0.0282   0.0282
       14| -0.00332 -0.00332 -0.00324 -0.00311 -0.00309 -0.00319 -0.00341 -0.00377  -0.0043 -0.00511  -0.0064 -0.00856  -0.0121  -0.0171  -0.0208  -0.0154 -0.00146 -0.00146
       13| -0.00272 -0.00272 -0.00273 -0.00273 -0.00278 -0.00292 -0.00315 -0.00349   -0.004 -0.00477 -0.00598 -0.00802  -0.0115  -0.0164  -0.0203  -0.0171 -0.00944 -0.00944
       12| -0.00228 -0.00228 -0.00231 -0.00236 -0.00243 -0.00257 -0.00277 -0.00306 -0.00347 -0.00407 -0.00498 -0.00646 -0.00885   -0.012  -0.0142  -0.0116 -0.00681 -0.00681
       11|  -0.0019  -0.0019 -0.00194 -0.00199 -0.00206 -0.00217 -0.00232 -0.00252 -0.00279 -0.00315 -0.00364 -0.00436 -0.00538 -0.00651 -0.00665 -0.00395-0.000581-0.000581
       10| -0.00156 -0.00156  -0.0016 -0.00164 -0.00169 -0.00176 -0.00184 -0.00194 -0.00205 -0.00217 -0.00229 -0.00238 -0.00236 -0.00203-0.000759  0.00192  0.00441  0.00441
        9| -0.00125 -0.00125 -0.00128  -0.0013 -0.00133 -0.00136 -0.00138 -0.00138 -0.00136  -0.0013 -0.00114 -0.00084-0.000291 0.000724  0.00233   0.0045  0.00621  0.00621
        8|-0.000971-0.000971-0.000991   -0.001-0.000999-0.000985-0.000951-0.000884-0.000768-0.000576-0.000269 0.000208 0.000944    0.002  0.00334  0.00477  0.00577  0.00577
        7|-0.000724-0.000724-0.000736 -0.00073-0.000707-0.000662-0.000585-0.000467-0.000289-2.97e-05 0.000342 0.000862  0.00157  0.00245  0.00342  0.00429  0.00481  0.00481
        6|-0.000512-0.000512-0.000517  -0.0005-0.000459 -0.00039-0.000285-0.000134 7.67e-05 0.000364 0.000745  0.00124  0.00185  0.00253  0.00322  0.00376  0.00402  0.00402
        5|-0.000338-0.000338-0.000339-0.000312-0.000259-0.000173   -5e-05 0.000119 0.000344 0.000635 0.000999  0.00144  0.00195  0.00248  0.00297  0.00332  0.00347  0.00347
        4|-0.000204-0.000204-0.000201-0.000168-0.000105 -9.4e-06 0.000125 0.000304 0.000532 0.000815  0.00115  0.00155  0.00197  0.00239  0.00276  0.00301  0.00311  0.00311
        3|-0.000112-0.000112-0.000105 -6.8e-05 8.48e-07 0.000104 0.000245 0.000428 0.000656 0.000929  0.00125   0.0016  0.00196  0.00231   0.0026   0.0028  0.00287  0.00287
        2|-6.07e-05-6.07e-05-5.21e-05-1.18e-05 6.13e-05 0.000169 0.000315 0.000501 0.000728 0.000995   0.0013  0.00162  0.00195  0.00226  0.00251  0.00267  0.00273  0.00273
        1| -4.9e-05 -4.9e-05-3.95e-05 2.14e-06 7.77e-05 0.000189 0.000338 0.000527 0.000756  0.00102  0.00132  0.00164  0.00195  0.00224  0.00248  0.00263  0.00269  0.00269
        0| -4.9e-05 -4.9e-05-3.95e-05 2.14e-06 7.77e-05 0.000189 0.000338 0.000527 0.000756  0.00102  0.00132  0.00164  0.00195  0.00224  0.00248  0.00263  0.00269  0.00269

