t: 7.45593
nCells: 16x16, dx: 0.125, dy: 0.125

u (19x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0     1.92     1.87     1.83     1.79     1.77     1.74     1.72      1.7     1.68     1.66     1.65     1.63     1.62     1.65     1.76        0
       16|        0   0.0794    0.134    0.174    0.206    0.233    0.257    0.279    0.299    0.317    0.336    0.354    0.372    0.383    0.355    0.239        0
       15|        0  -0.0353  -0.0347  -0.0275  -0.0194  -0.0113 -0.00339  0.00455   0.0129   0.0226   0.0351   0.0527   0.0769    0.105    0.117   0.0765        0
       14|        0 -0.00899  -0.0178  -0.0225  -0.0247  -0.0256  -0.0254  -0.0245  -0.0224  -0.0185   -0.012 -0.00192   0.0101   0.0148   0.0119  0.00272        0
       13|        0 -0.00661  -0.0133  -0.0181  -0.0214  -0.0237  -0.0254  -0.0267  -0.0276  -0.0284  -0.0296  -0.0323  -0.0385  -0.0488  -0.0544  -0.0373        0
       12|        0 -0.00472  -0.0104  -0.0151  -0.0188  -0.0218  -0.0245  -0.0271    -0.03  -0.0342  -0.0411  -0.0525  -0.0692  -0.0864  -0.0893  -0.0595        0
       11|        0  -0.0037 -0.00857   -0.013  -0.0168  -0.0202  -0.0234  -0.0269  -0.0309  -0.0365  -0.0449  -0.0577  -0.0753  -0.0929  -0.0971  -0.0676        0
       10|        0 -0.00309 -0.00737  -0.0115  -0.0152  -0.0188  -0.0222   -0.026  -0.0303  -0.0358  -0.0433  -0.0533  -0.0658  -0.0779  -0.0812  -0.0593        0
        9|        0 -0.00269 -0.00652  -0.0103  -0.0139  -0.0174  -0.0208  -0.0244  -0.0285  -0.0332  -0.0388  -0.0453  -0.0521  -0.0571  -0.0557  -0.0393        0
        8|        0 -0.00241 -0.00587 -0.00937  -0.0127   -0.016  -0.0192  -0.0225  -0.0259  -0.0296  -0.0334  -0.0371  -0.0397  -0.0398  -0.0348  -0.0216        0
        7|        0 -0.00219 -0.00534 -0.00855  -0.0117  -0.0147  -0.0176  -0.0204  -0.0232  -0.0258  -0.0282  -0.0299  -0.0301  -0.0279  -0.0219  -0.0117        0
        6|        0 -0.00201  -0.0049 -0.00785  -0.0107  -0.0134   -0.016  -0.0184  -0.0205  -0.0224  -0.0237  -0.0241  -0.0232  -0.0202  -0.0147 -0.00702        0
        5|        0 -0.00187 -0.00454 -0.00726 -0.00986  -0.0123  -0.0146  -0.0166  -0.0182  -0.0195  -0.0201  -0.0198  -0.0183  -0.0153  -0.0106 -0.00478        0
        4|        0 -0.00175 -0.00425 -0.00677 -0.00918  -0.0114  -0.0134  -0.0151  -0.0164  -0.0172  -0.0173  -0.0166   -0.015  -0.0121 -0.00818 -0.00358        0
        3|        0 -0.00166 -0.00401 -0.00638 -0.00862  -0.0107  -0.0124  -0.0139  -0.0149  -0.0155  -0.0153  -0.0145  -0.0127  -0.0101 -0.00671 -0.00289        0
        2|        0  -0.0015 -0.00364 -0.00581 -0.00785 -0.00971  -0.0113  -0.0126  -0.0135  -0.0138  -0.0136  -0.0127  -0.0111  -0.0087 -0.00571 -0.00244        0
        1|        0 -0.00091 -0.00232 -0.00377 -0.00515 -0.00643 -0.00755 -0.00848 -0.00913 -0.00945 -0.00935 -0.00876 -0.00764   -0.006  -0.0039 -0.00162        0
        0|        0 0.000909  0.00232  0.00376  0.00514  0.00641  0.00753  0.00845   0.0091  0.00941  0.00931  0.00872  0.00761  0.00597  0.00388  0.00162        0

v (18x19): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
