nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00693 -0.00693 -0.00301 -0.00266 -0.00292 -0.00332 -0.00377 -0.00425 -0.00478  -0.0054 -0.00625  -0.0076 -0.00978  -0.0109 -0.00405   0.0203   0.0629   0.0629
       16| -0.00693 -0.00693 -0.00301 -0.00266 -0.00292 -0.00332 -0.00377 -0.00425 -0.00478  -0.0054 -0.00625  -0.0076 -0.00978  -0.0109 -0.00405   0.0203   0.0629   0.0629
       15| -0.00402 -0.00402 -0.00375 -0.00356 -0.00358 -0.00376 -0.00403 -0.00437 -0.00478 -0.00529 -0.00603 -0.00731 -0.00973  -0.0134  -0.0134-0.000956   0.0232   0.0232
       14| -0.00305 -0.00305 -0.00306 -0.00306 -0.00316 -0.00333 -0.00357 -0.00385 -0.00418 -0.00459 -0.00519 -0.00617  -0.0079  -0.0106  -0.0121 -0.00592  0.00598  0.00598
       13| -0.00247 -0.00247 -0.00253 -0.00259  -0.0027 -0.00284 -0.00302 -0.00322 -0.00344  -0.0037 -0.00404 -0.00449 -0.00513 -0.00581 -0.00544 -0.00127  0.00467  0.00467
       12| -0.00205 -0.00205 -0.00211 -0.00217 -0.00226 -0.00236 -0.00248 -0.00259 -0.00269 -0.00278 -0.00283  -0.0028  -0.0026 -0.00196 -0.00029  0.00301  0.00632  0.00632
       11|  -0.0017  -0.0017 -0.00175  -0.0018 -0.00186 -0.00192 -0.00197   -0.002   -0.002 -0.00193 -0.00177 -0.00144 -0.00082 0.000275  0.00202  0.00433   0.0062   0.0062
       10|  -0.0014  -0.0014 -0.00144 -0.00148 -0.00151 -0.00153 -0.00153 -0.00149  -0.0014 -0.00123 -0.00095-0.000489 0.000229  0.00127  0.00261  0.00403  0.00501  0.00501
        9| -0.00114 -0.00114 -0.00117 -0.00119  -0.0012 -0.00119 -0.00115 -0.00106-0.000922  -0.0007-0.000369 0.000111 0.000766   0.0016  0.00253  0.00338  0.00387  0.00387
        8|-0.000923-0.000923-0.000944-0.000948-0.000936-0.000899 -0.00083-0.000719-0.000551-0.000311 1.98e-05 0.000458    0.001  0.00163  0.00227  0.00279  0.00304  0.00304
        7|-0.000735-0.000735-0.000749-0.000743-0.000717-0.000664-0.000579-0.000452-0.000276-3.86e-05 0.000267 0.000645  0.00108  0.00155  0.00199  0.00232  0.00246  0.00246
        6| -0.00058 -0.00058-0.000588-0.000575 -0.00054-0.000477-0.000383-0.000251-7.67e-05 0.000146 0.000419 0.000738  0.00109  0.00144  0.00175  0.00197  0.00206  0.00206
        5|-0.000457-0.000457-0.000461-0.000443-0.000401-0.000333-0.000235-0.000104 6.34e-05 0.000269  0.00051 0.000779  0.00106  0.00133  0.00157  0.00172  0.00178  0.00178
        4|-0.000364-0.000364-0.000365-0.000344-0.000299-0.000228-0.000129-1.47e-07 0.000159 0.000348 0.000562 0.000793  0.00103  0.00125  0.00143  0.00154  0.00158  0.00158
        3|-0.000301-0.000301  -0.0003-0.000276-0.000229-0.000156-5.71e-05  6.9e-05 0.000221 0.000398 0.000593 0.000798    0.001  0.00118  0.00133  0.00143  0.00146  0.00146
        2|-0.000268-0.000268-0.000265 -0.00024 -0.00019-0.000116 -1.6e-05 0.000109 0.000258 0.000427  0.00061   0.0008 0.000983  0.00115  0.00128  0.00136  0.00139  0.00139
        1|-0.000263-0.000263-0.000259-0.000232-0.000181-0.000105-3.19e-06 0.000123 0.000272 0.000439  0.00062 0.000804 0.000982  0.00114  0.00126  0.00134  0.00137  0.00137
        0|-0.000263-0.000263-0.000259-0.000232-0.000181-0.000105-3.19e-06 0.000123 0.000272 0.000439  0.00062 0.000804 0.000982  0.00114  0.00126  0.00134  0.00137  0.00137

