t: 0.219395
nCells: 16x16, dx: 0.125, dy: 0.125

u (19x18): 
         |        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|   0.0135   0.0189   0.0214   0.0227   0.0234   0.0238   0.0241   0.0241   0.0241   0.0238   0.0234   0.0227   0.0215    0.019   0.0136        0
       15| -0.00545 -0.00558 -0.00486  -0.0042 -0.00373 -0.00342 -0.00325  -0.0032 -0.00325 -0.00342 -0.00372 -0.00419 -0.00485 -0.00557 -0.00544        0
       14| -0.00268 -0.00364 -0.00377 -0.00361 -0.00342 -0.00326 -0.00316 -0.00312 -0.00316 -0.00326 -0.00342 -0.00362 -0.00378 -0.00367 -0.00271        0
       13|  -0.0015  -0.0024  -0.0028 -0.00291  -0.0029 -0.00286 -0.00283 -0.00282 -0.00283 -0.00287 -0.00291 -0.00292 -0.00281 -0.00242 -0.00152        0
       12|-0.000956 -0.00167  -0.0021 -0.00233 -0.00243 -0.00247 -0.00248 -0.00248 -0.00248 -0.00247 -0.00243 -0.00233 -0.00211 -0.00168-0.000963        0
       11|-0.000663 -0.00122 -0.00161 -0.00186 -0.00201  -0.0021 -0.00214 -0.00215 -0.00214  -0.0021 -0.00202 -0.00187 -0.00161 -0.00122-0.000666        0
       10|-0.000488-0.000921 -0.00126  -0.0015 -0.00167 -0.00177 -0.00182 -0.00184 -0.00183 -0.00177 -0.00167 -0.00151 -0.00126-0.000924 -0.00049        0
        9|-0.000375-0.000719 -0.00101 -0.00123 -0.00138 -0.00149 -0.00155 -0.00157 -0.00155 -0.00149 -0.00139 -0.00123 -0.00101-0.000721-0.000376        0
        8|-0.000297-0.000575-0.000816 -0.00101 -0.00115 -0.00126 -0.00131 -0.00133 -0.00131 -0.00126 -0.00116 -0.00101-0.000817-0.000577-0.000298        0
        7|-0.000241 -0.00047-0.000673-0.000841-0.000971 -0.00106 -0.00112 -0.00114 -0.00112 -0.00106-0.000972-0.000842-0.000674-0.000471-0.000242        0
        6|  -0.0002-0.000392-0.000564 -0.00071-0.000825-0.000907-0.000957-0.000973-0.000957-0.000908-0.000825 -0.00071-0.000565-0.000393-0.000201        0
        5| -0.00017-0.000334-0.000482-0.000609-0.000711-0.000785 -0.00083-0.000845 -0.00083-0.000785-0.000711 -0.00061-0.000483-0.000334 -0.00017        0
        4|-0.000148-0.000291-0.000421-0.000534-0.000625-0.000692-0.000732-0.000746-0.000733-0.000692-0.000625-0.000534-0.000422-0.000291-0.000148        0
        3|-0.000132-0.000261-0.000379-0.000481-0.000564-0.000625-0.000662-0.000675-0.000662-0.000625-0.000564-0.000481-0.000379-0.000261-0.000133        0
        2|-0.000123-0.000242-0.000351-0.000446-0.000524-0.000581-0.000616-0.000628-0.000616-0.000581-0.000524-0.000447-0.000351-0.000242-0.000123        0
        1|-0.000117 -0.00023-0.000334-0.000425-0.000499-0.000554-0.000587-0.000599-0.000587-0.000554-0.000499-0.000425-0.000334 -0.00023-0.000117        0

v (18x19): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       16|   0.0135   0.0054  0.00247  0.00128 0.000722 0.000414 0.000218 6.99e-05-6.43e-05-0.000212-0.000407-0.000712 -0.00127 -0.00246  -0.0054  -0.0136
       15|  0.00809  0.00528  0.00319  0.00194  0.00119 0.000718 0.000387 0.000124-0.000117-0.000379-0.000709 -0.00118 -0.00193 -0.00318 -0.00528 -0.00816
       14|  0.00542  0.00431  0.00307  0.00209  0.00139 0.000878 0.000486 0.000157-0.000151-0.000479-0.000871 -0.00138 -0.00209 -0.00306 -0.00432 -0.00545
       13|  0.00391  0.00341  0.00268  0.00198   0.0014 0.000918 0.000521  0.00017-0.000165-0.000515-0.000913 -0.00139 -0.00198 -0.00268 -0.00342 -0.00393
       12|  0.00295   0.0027  0.00224  0.00175  0.00129 0.000879 0.000509 0.000168-0.000164-0.000505-0.000875 -0.00129 -0.00175 -0.00225  -0.0027 -0.00296
       11|  0.00229  0.00214  0.00185   0.0015  0.00114 0.000796 0.000468 0.000155-0.000152-0.000466-0.000793 -0.00114  -0.0015 -0.00185 -0.00215  -0.0023
       10|   0.0018  0.00171  0.00151  0.00126 0.000978 0.000694 0.000414 0.000138-0.000136-0.000412-0.000692-0.000977 -0.00126 -0.00151 -0.00171 -0.00181
        9|  0.00143  0.00137  0.00122  0.00104 0.000819 0.000589 0.000354 0.000119-0.000117-0.000353-0.000588-0.000818 -0.00104 -0.00123 -0.00137 -0.00143
        8|  0.00113  0.00109 0.000985 0.000842 0.000673 0.000489 0.000296 9.94e-05-9.83e-05-0.000295-0.000488-0.000673-0.000842-0.000985 -0.00109 -0.00113
        7| 0.000891  0.00086 0.000782 0.000674 0.000543 0.000397 0.000241 8.12e-05-8.05e-05-0.000241-0.000396-0.000543-0.000674-0.000783-0.000861-0.000891
        6|  0.00069 0.000668  0.00061 0.000528 0.000428 0.000314 0.000192 6.46e-05-6.41e-05-0.000191-0.000314-0.000428-0.000528 -0.00061-0.000669-0.000691
        5|  0.00052 0.000504 0.000462 0.000401 0.000326  0.00024 0.000147 4.95e-05-4.92e-05-0.000147 -0.00024-0.000326-0.000401-0.000462-0.000505-0.000521
        4| 0.000372 0.000361 0.000331 0.000288 0.000235 0.000173 0.000106 3.58e-05-3.56e-05-0.000106-0.000173-0.000235-0.000288-0.000331-0.000361-0.000372
        3|  0.00024 0.000233 0.000214 0.000186 0.000152 0.000112 6.88e-05 2.32e-05-2.31e-05-6.87e-05-0.000112-0.000152-0.000186-0.000214-0.000233 -0.00024
        2| 0.000117 0.000113 0.000104 9.09e-05 7.42e-05 5.49e-05 3.37e-05 1.14e-05-1.13e-05-3.36e-05-5.48e-05-7.42e-05-9.09e-05-0.000104-0.000113-0.000117

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0269  -0.0189   -0.014  -0.0105 -0.00776 -0.00539 -0.00325 -0.00124 0.000739  0.00275  0.00489  0.00726     0.01   0.0136   0.0185   0.0267
