nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0251   -0.018  -0.0136  -0.0104 -0.00773 -0.00546 -0.00341 -0.00148 0.000405  0.00233  0.00436  0.00664  0.00935   0.0129   0.0182   0.0272
       15|  -0.0178  -0.0152  -0.0123 -0.00962 -0.00729 -0.00519 -0.00325 -0.00141 0.000401  0.00224  0.00417  0.00628  0.00866   0.0115   0.0149   0.0186
       14|  -0.0134  -0.0122  -0.0104 -0.00844 -0.00654 -0.00472 -0.00298 -0.00128 0.000402  0.00211  0.00388  0.00575  0.00776  0.00991   0.0121   0.0138
       13|  -0.0105 -0.00985 -0.00866 -0.00723 -0.00571 -0.00418 -0.00265 -0.00114 0.000379  0.00191  0.00348  0.00508  0.00671   0.0083  0.00971   0.0106
       12| -0.00847 -0.00802 -0.00719 -0.00612 -0.00491 -0.00363 -0.00232-0.000997 0.000339  0.00168  0.00303  0.00437  0.00567  0.00686  0.00782  0.00837
       11| -0.00689 -0.00658 -0.00597 -0.00515 -0.00418 -0.00312 -0.00201-0.000867 0.000289  0.00145  0.00259   0.0037  0.00474  0.00564  0.00633  0.00669
       10| -0.00567 -0.00543 -0.00497 -0.00432 -0.00354 -0.00267 -0.00173-0.000754 0.000236  0.00122  0.00219   0.0031  0.00394  0.00463  0.00515  0.00541
        9|  -0.0047 -0.00452 -0.00416 -0.00364   -0.003 -0.00227 -0.00148-0.000658 0.000184  0.00102  0.00183  0.00259  0.00326  0.00381  0.00421   0.0044
        8| -0.00394 -0.00379  -0.0035 -0.00308 -0.00255 -0.00194 -0.00128-0.000579 0.000135 0.000844  0.00152  0.00215   0.0027  0.00315  0.00346  0.00361
        7| -0.00333 -0.00321 -0.00297 -0.00262 -0.00218 -0.00167 -0.00111-0.000515  9.3e-05 0.000694  0.00127  0.00179  0.00225  0.00261  0.00287  0.00299
        6| -0.00285 -0.00275 -0.00255 -0.00226 -0.00189 -0.00145-0.000974-0.000464 5.69e-05 0.000571  0.00106   0.0015  0.00189  0.00219   0.0024   0.0025
        5| -0.00248  -0.0024 -0.00223 -0.00198 -0.00166 -0.00128-0.000866-0.000424 2.75e-05 0.000473 0.000894  0.00128   0.0016  0.00186  0.00204  0.00213
        4| -0.00221 -0.00213 -0.00198 -0.00176 -0.00148 -0.00115-0.000785-0.000394 4.46e-06 0.000397 0.000768   0.0011  0.00139  0.00162  0.00177  0.00185
        3| -0.00201 -0.00194 -0.00181 -0.00161 -0.00136 -0.00106-0.000726-0.000373-1.24e-05 0.000342 0.000678  0.00098  0.00124  0.00144  0.00158  0.00164
        2| -0.00188 -0.00182  -0.0017 -0.00151 -0.00128-0.000999-0.000689 -0.00036-2.32e-05 0.000307  0.00062 0.000901  0.00114  0.00133  0.00145  0.00152
        1| -0.00182 -0.00176 -0.00164 -0.00147 -0.00124 -0.00097-0.000671-0.000353-2.84e-05 0.000291 0.000592 0.000863  0.00109  0.00127   0.0014  0.00146

