t: 0.0625312
nCells: 16x16, dx: 0.125, dy: 0.125

u (19x18): 
         |        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  0.00396  0.00551  0.00622  0.00658  0.00679  0.00691  0.00698    0.007  0.00698  0.00691  0.00679  0.00658  0.00621   0.0055  0.00396        0
       15|  -0.0016 -0.00163 -0.00142 -0.00123 -0.00109   -0.001-0.000955 -0.00094-0.000956 -0.00101 -0.00109 -0.00123 -0.00142 -0.00163  -0.0016        0
       14|-0.000768 -0.00104 -0.00107 -0.00102-0.000964-0.000917-0.000888-0.000878-0.000888-0.000918-0.000966 -0.00103 -0.00107 -0.00104-0.000771        0
       13| -0.00043-0.000683-0.000792-0.000821-0.000817-0.000804-0.000793 -0.00079-0.000794-0.000806-0.000819-0.000824-0.000794-0.000686-0.000433        0
       12|-0.000271-0.000472-0.000592-0.000653-0.000681 -0.00069-0.000693-0.000693-0.000693-0.000692-0.000682-0.000656-0.000594-0.000474-0.000274        0
       11|-0.000186-0.000341-0.000451-0.000521-0.000562-0.000584-0.000595-0.000598-0.000595-0.000585-0.000564-0.000523-0.000453-0.000344-0.000189        0
       10|-0.000136-0.000256 -0.00035-0.000418-0.000462 -0.00049-0.000505 -0.00051-0.000506-0.000491-0.000464 -0.00042-0.000353-0.000259-0.000138        0
        9|-0.000103-0.000198-0.000277-0.000337-0.000381-0.000409-0.000426-0.000431-0.000426-0.000411-0.000383 -0.00034-0.000279-0.000201-0.000105        0
        8|-8.03e-05-0.000157-0.000222-0.000275-0.000315-0.000342-0.000358-0.000363-0.000359-0.000343-0.000317-0.000277-0.000225-0.000159-8.27e-05        0
        7|-6.41e-05-0.000126-0.000181-0.000226-0.000262-0.000287-0.000301-0.000307-0.000302-0.000288-0.000264-0.000229-0.000184-0.000129-6.65e-05        0
        6|-5.22e-05-0.000104 -0.00015-0.000189 -0.00022-0.000242-0.000255 -0.00026-0.000256-0.000243-0.000221-0.000191-0.000152-0.000106-5.46e-05        0
        5|-4.33e-05-8.67e-05-0.000126 -0.00016-0.000187-0.000206-0.000219-0.000223-0.000219-0.000208-0.000189-0.000162-0.000129-8.93e-05-4.58e-05        0
        4|-3.69e-05-7.43e-05-0.000108-0.000138-0.000162 -0.00018 -0.00019-0.000194-0.000191-0.000181-0.000164 -0.00014-0.000111-7.69e-05-3.93e-05        0
        3|-3.23e-05-6.55e-05-9.59e-05-0.000122-0.000144 -0.00016 -0.00017-0.000174-0.000171-0.000161-0.000146-0.000125-9.85e-05-6.81e-05-3.48e-05        0
        2|-2.94e-05-5.98e-05-8.78e-05-0.000112-0.000132-0.000147-0.000157 -0.00016-0.000157-0.000149-0.000134-0.000115-9.04e-05-6.25e-05-3.19e-05        0
        1|-2.79e-05-5.69e-05-8.37e-05-0.000107-0.000126-0.000141 -0.00015-0.000153 -0.00015-0.000142-0.000128-0.000109-8.63e-05-5.96e-05-3.04e-05        0

v (18x19): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       16|  0.00395  0.00155 0.000706 0.000367 0.000207 0.000119 6.22e-05 1.96e-05 -1.9e-05-6.16e-05-0.000118-0.000206-0.000366-0.000706 -0.00155 -0.00395
       15|  0.00235  0.00151 0.000913 0.000556 0.000342 0.000206 0.000111 3.53e-05-3.42e-05 -0.00011-0.000205-0.000341-0.000555-0.000912 -0.00151 -0.00235
       14|  0.00157  0.00124  0.00088 0.000601 0.000399 0.000252 0.000139  4.5e-05-4.36e-05-0.000138 -0.00025-0.000397-0.000599-0.000878 -0.00124 -0.00157
       13|  0.00114  0.00098 0.000768 0.000568 0.000401 0.000264  0.00015  4.9e-05-4.72e-05-0.000148-0.000262-0.000399-0.000567-0.000767-0.000978 -0.00113
       12| 0.000859 0.000776 0.000645 0.000504 0.000372 0.000253 0.000147 4.87e-05-4.65e-05-0.000144-0.000251 -0.00037-0.000502-0.000643-0.000774-0.000857
       11| 0.000667 0.000618 0.000533 0.000432 0.000329 0.000229 0.000135 4.54e-05 -4.3e-05-0.000133-0.000227-0.000326 -0.00043 -0.00053-0.000615-0.000665
       10| 0.000525 0.000494 0.000435 0.000362 0.000282   0.0002  0.00012 4.06e-05 -3.8e-05-0.000117-0.000198-0.000279-0.000359-0.000433-0.000491-0.000523
        9| 0.000417 0.000395 0.000353 0.000299 0.000236  0.00017 0.000103 3.52e-05-3.25e-05  -0.0001-0.000168-0.000234-0.000296-0.000351-0.000392-0.000414
        8| 0.000331 0.000315 0.000285 0.000243 0.000195 0.000142 8.63e-05 2.97e-05-2.71e-05-8.36e-05-0.000139-0.000192-0.000241-0.000282-0.000312-0.000328
        7| 0.000261 0.000249 0.000227 0.000195 0.000158 0.000115 7.07e-05 2.45e-05 -2.2e-05-6.81e-05-0.000113-0.000155-0.000193-0.000224-0.000247-0.000258
        6| 0.000203 0.000194 0.000177 0.000154 0.000125 9.17e-05 5.64e-05 1.97e-05-1.74e-05-5.41e-05-8.93e-05-0.000122-0.000151-0.000175-0.000192  -0.0002
        5| 0.000153 0.000147 0.000135 0.000117 9.53e-05 7.04e-05 4.35e-05 1.53e-05-1.32e-05-4.14e-05-6.84e-05-9.32e-05-0.000115-0.000133-0.000145-0.000151
        4|  0.00011 0.000106 9.72e-05 8.47e-05 6.91e-05 5.12e-05 3.17e-05 1.12e-05-9.54e-06   -3e-05-4.95e-05-6.74e-05 -8.3e-05-9.54e-05-0.000104-0.000109
        3| 7.19e-05 6.91e-05 6.35e-05 5.54e-05 4.53e-05 3.36e-05 2.08e-05 7.44e-06-6.17e-06-1.96e-05-3.23e-05 -4.4e-05 -5.4e-05-6.21e-05-6.77e-05-7.05e-05
        2| 3.63e-05 3.49e-05 3.21e-05  2.8e-05 2.29e-05  1.7e-05 1.06e-05 3.83e-06-3.05e-06-9.81e-06-1.62e-05-2.21e-05-2.71e-05-3.12e-05 -3.4e-05-3.53e-05

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
