nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|   -0.027   -0.019   -0.014  -0.0105 -0.00775 -0.00537 -0.00324 -0.00122  0.00075  0.00276   0.0049  0.00727   0.0101   0.0136   0.0186   0.0267
       15|  -0.0191  -0.0159  -0.0126  -0.0098 -0.00734 -0.00514 -0.00311 -0.00118 0.000714  0.00264  0.00467  0.00687  0.00934   0.0122   0.0155   0.0187
       14|  -0.0144  -0.0129  -0.0108  -0.0087 -0.00666 -0.00473 -0.00289 -0.00111 0.000649  0.00243  0.00427   0.0062  0.00825   0.0104   0.0125    0.014
       13|  -0.0113  -0.0104 -0.00909 -0.00751 -0.00587 -0.00423 -0.00261 -0.00102 0.000564  0.00216  0.00377  0.00542  0.00706  0.00865     0.01   0.0109
       12| -0.00904  -0.0085 -0.00756 -0.00638 -0.00507 -0.00371 -0.00232-0.000924 0.000472  0.00187  0.00326  0.00463  0.00594  0.00713  0.00808  0.00862
       11| -0.00734 -0.00697 -0.00629 -0.00538 -0.00434  -0.0032 -0.00203-0.000827  0.00038  0.00158  0.00276   0.0039  0.00495  0.00586  0.00655  0.00692
       10| -0.00602 -0.00575 -0.00524 -0.00453 -0.00369 -0.00275 -0.00176-0.000738 0.000295  0.00132  0.00231  0.00325   0.0041  0.00481  0.00533   0.0056
        9| -0.00498 -0.00478 -0.00438 -0.00381 -0.00313 -0.00236 -0.00152-0.000658 0.000219  0.00109  0.00192   0.0027  0.00338  0.00395  0.00435  0.00456
        8| -0.00416   -0.004 -0.00368 -0.00322 -0.00266 -0.00202 -0.00132-0.000589 0.000153 0.000886  0.00159  0.00223   0.0028  0.00325  0.00357  0.00374
        7| -0.00351 -0.00338 -0.00312 -0.00275 -0.00228 -0.00174 -0.00115-0.000532 9.85e-05 0.000719  0.00131  0.00185  0.00232  0.00269  0.00296  0.00309
        6|   -0.003 -0.00289 -0.00267 -0.00236 -0.00197 -0.00151 -0.00101-0.000485 5.38e-05 0.000583  0.00109  0.00154  0.00194  0.00225  0.00247  0.00258
        5|  -0.0026 -0.00251 -0.00232 -0.00206 -0.00173 -0.00134-0.000904-0.000447 1.82e-05 0.000476 0.000908   0.0013  0.00164   0.0019  0.00209  0.00218
        4|  -0.0023 -0.00222 -0.00206 -0.00183 -0.00154  -0.0012-0.000819-0.000418-8.99e-06 0.000393 0.000773  0.00112  0.00141  0.00164   0.0018  0.00188
        3| -0.00208 -0.00201 -0.00187 -0.00167 -0.00141  -0.0011-0.000758-0.000397-2.87e-05 0.000333 0.000675 0.000983  0.00125  0.00145   0.0016  0.00167
        2| -0.00194 -0.00188 -0.00175 -0.00156 -0.00132 -0.00103-0.000718-0.000383-4.14e-05 0.000294 0.000611 0.000897  0.00114  0.00133  0.00146  0.00153
        1| -0.00188 -0.00181 -0.00169 -0.00151 -0.00128   -0.001-0.000699-0.000376-4.76e-05 0.000275  0.00058 0.000854  0.00109  0.00127   0.0014  0.00146

