x,u,v,dp,re,L,H
0,0,0,-10,10,10,2
0.025,0,0.246875,,,,
0.05,0,0.4875,,,,
0.075,0,0.721875,,,,
0.1,0,0.95,,,,
0.125,0,1.171875,,,,
0.15,0,1.3875,,,,
0.175,0,1.596875,,,,
0.2,0,1.8,,,,
0.225,0,1.996875,,,,
0.25,0,2.1875,,,,
0.275,0,2.371875,,,,
0.3,0,2.55,,,,
0.325,0,2.721875,,,,
0.35,0,2.8875,,,,
0.375,0,3.046875,,,,
0.4,0,3.2,,,,
0.425,0,3.346875,,,,
0.45,0,3.4875,,,,
0.475,0,3.621875,,,,
0.5,0,3.75,,,,
0.525,0,3.871875,,,,
0.55,0,3.9875,,,,
0.575,0,4.096875,,,,
0.6,0,4.2,,,,
0.625,0,4.296875,,,,
0.65,0,4.3875,,,,
0.675,0,4.471875,,,,
0.7,0,4.55,,,,
0.725,0,4.621875,,,,
0.75,0,4.6875,,,,
0.775,0,4.746875,,,,
0.8,0,4.8,,,,
0.825,0,4.846875,,,,
0.85,0,4.8875,,,,
0.875,0,4.921875,,,,
0.9,0,4.95,,,,
0.925,0,4.971875,,,,
0.95,0,4.9875,,,,
0.975,0,4.996875,,,,
1,0,5,,,,
1.025,0,4.996875,,,,
1.05,0,4.9875,,,,
1.075,0,4.971875,,,,
1.1,0,4.95,,,,
1.125,0,4.921875,,,,
1.15,0,4.8875,,,,
1.175,0,4.846875,,,,
1.2,0,4.8,,,,
1.225,0,4.746875,,,,
1.25,0,4.6875,,,,
1.275,0,4.621875,,,,
1.3,0,4.55,,,,
1.325,0,4.471875,,,,
1.35,0,4.3875,,,,
1.375,0,4.296875,,,,
1.4,0,4.2,,,,
1.425,0,4.096875,,,,
1.45,0,3.9875,,,,
1.475,0,3.871875,,,,
1.5,0,3.75,,,,
1.525,0,3.621875,,,,
1.55,0,3.4875,,,,
1.575,0,3.346875,,,,
1.6,0,3.2,,,,
1.625,0,3.046875,,,,
1.65,0,2.8875,,,,
1.675,0,2.721875,,,,
1.7,0,2.55,,,,
1.725,0,2.371875,,,,
1.75,0,2.1875,,,,
1.775,0,1.996875,,,,
1.8,0,1.8,,,,
1.825,0,1.596875,,,,
1.85,0,1.3875,,,,
1.875,0,1.171875,,,,
1.9,0,0.950000000000001,,,,
1.925,0,0.721875,,,,
1.95,0,0.487499999999998,,,,
1.975,0,0.246874999999999,,,,
2,0,0,,,,
